timestamp,event_id,user,action,resource,status,anomaly_score
1755883402.312495,1860,user1,network_access,resource_21,success,0.3311989040672405
1755917862.313576,9322,user1,logout,resource_88,failed,0.24246782213565524
1755902005.314231,7420,admin,logout,resource_22,success,0.0046124850082831514
1755505174.314908,3558,user1,process_start,resource_60,success,0.0912139968434072
1755920706.315583,4005,user1,process_start,resource_64,success,0.17198808134726412
1755439466.316374,6393,guest,process_start,resource_14,failed,0.5609227538346742
1755937212.317241,8041,admin,process_start,resource_71,success,0.16663898234723287
1755898830.31771,4152,user1,process_start,resource_2,success,0.04158833257363777
1755690221.318106,8989,user1,logout,resource_90,success,0.07903004720036289
1755469538.318485,8629,user1,login,resource_62,success,0.07773545793789641
1755538079.318856,1878,service,logout,resource_89,success,0.4085392166316497
1755768776.320086,6276,service,login,resource_89,denied,0.1544489538593315
1755871593.321305,6258,user1,file_access,resource_35,failed,0.21480893034681808
1755716362.322309,7184,guest,login,resource_72,success,0.019082023298082264
1755403699.323383,9996,service,file_access,resource_35,success,0.02391884918766034
1755532835.324418,4840,service,file_access,resource_9,failed,0.22217816416236627
1755457653.325224,2484,user1,login,resource_52,success,0.1391032172852255
1755899482.32585,7374,user2,file_access,resource_29,success,0.0153959819657586
1755625371.326513,6915,guest,network_access,resource_62,success,0.17429211803754355
1755805125.327121,6450,user2,process_start,resource_89,success,0.022010384905535352
1755550771.327507,7776,service,login,resource_3,success,0.10214946051551316
1755776784.327878,1663,guest,login,resource_52,success,0.49435641654419216
1755812285.328245,2291,user1,logout,resource_3,success,0.05696809887549353
1755912096.328607,1698,admin,logout,resource_92,success,0.3557292928473223
1755735824.328967,7528,user1,logout,resource_53,success,0.19713009082212016
1755524689.329327,5931,user1,file_access,resource_17,failed,0.27355662654385066
1755899279.329694,1197,user2,login,resource_73,success,0.33730370207997085
1755989652.330062,1659,user2,process_start,resource_19,failed,0.6619002092279431
1755862877.330423,3911,user1,login,resource_33,success,0.10355027010549603
1755732105.330781,5736,admin,login,resource_89,success,0.10828959476551317
1755450766.331138,1262,admin,logout,resource_60,success,0.49925073995158487
1755630323.331496,5548,guest,file_access,resource_9,success,0.4400715659945542
1755414382.331877,5499,service,login,resource_24,timeout,0.1871269988441895
1755504203.33263,5199,admin,file_access,resource_89,success,0.0010123167692437374
1755927855.333193,3869,user2,network_access,resource_41,success,0.0036150727231041738
1755525313.333556,4987,user2,file_access,resource_17,success,0.10850804611097986
1755897910.333915,9050,admin,network_access,resource_51,timeout,0.12622772519945258
1755431695.334278,5893,admin,login,resource_69,success,0.09983867597695047
1755538400.33464,8339,guest,network_access,resource_46,timeout,0.07403174005108888
1755680008.334999,2060,guest,login,resource_46,denied,0.19272399541785057
1755939634.335358,1980,user1,login,resource_67,success,0.41136025249167
1755491602.335754,7709,admin,logout,resource_32,success,0.07172935625923278
1755948402.337326,1154,user1,logout,resource_17,failed,0.5273242662884058
1755506497.338013,8206,user1,logout,resource_99,success,0.12230274217313611
1755785397.338644,6625,user1,process_start,resource_45,success,0.014188183399985533
1755767811.339327,5495,user1,file_access,resource_87,success,0.11577297910151174
1755775131.340004,5146,user2,network_access,resource_22,success,0.006100049987809886
1755935047.340802,4854,user2,process_start,resource_97,failed,0.2543085831639484
1755628524.341413,6222,user1,network_access,resource_96,success,0.10812702432202131
1755931837.342145,7799,guest,process_start,resource_30,success,0.3797641802889589
1755977109.342844,6177,user1,network_access,resource_90,denied,0.16719602410244117
1755905125.343544,2664,user1,login,resource_34,success,0.018774658016258352
1755985304.344059,8404,user1,network_access,resource_64,success,0.12234414924687045
1755538478.344527,4147,user2,file_access,resource_86,success,0.023214528101383247
1755557804.344903,3141,service,process_start,resource_69,success,0.019566832130200298
1755884188.34526,8421,user2,logout,resource_10,timeout,0.17733607745960953
1755571986.345662,7905,guest,login,resource_69,success,0.12317023287798277
1755816609.346059,6878,guest,process_start,resource_32,timeout,0.4150948355751758
1755469134.346523,3427,user1,network_access,resource_51,failed,0.32518793402031454
1755514288.347104,6536,admin,file_access,resource_44,success,0.04291782394167483
1755739843.347794,9945,admin,login,resource_90,success,0.1689750621938909
1755667863.348441,1417,user1,process_start,resource_58,success,0.42578856935597675
1755873876.349006,8543,service,network_access,resource_36,success,0.1501229503281717
1755891008.349555,2122,user2,logout,resource_96,success,0.18615146512071296
1755943884.350091,4440,admin,login,resource_99,success,0.18051058133591336
1755466675.350647,9787,service,network_access,resource_59,success,0.010697059349473782
1755810356.351191,8400,service,login,resource_71,denied,0.13535398088486067
1755579837.351735,5946,user2,network_access,resource_69,success,0.0657329090739832
1755655708.352312,8651,guest,login,resource_39,success,0.0988840609405163
1755654755.356783,5729,user2,network_access,resource_75,success,0.028598336410567173
1755850663.359,1953,admin,network_access,resource_7,success,0.3445152835142061
1755650111.360163,7938,service,network_access,resource_29,success,0.1973279157002351
1755991553.361063,2365,service,login,resource_45,failed,0.2752519171061832
1755985490.361941,2810,service,file_access,resource_74,timeout,0.02223949646123027
1755919172.362815,5748,user2,logout,resource_20,success,0.023505249355420976
1755831944.363601,4072,admin,process_start,resource_62,success,0.09554297817604554
1755457112.364362,1823,user2,network_access,resource_6,failed,0.6955801337508541
1755589444.364762,2852,user2,network_access,resource_75,timeout,0.05059803359784823
1755581790.365126,7190,admin,login,resource_54,success,0.1802316020981978
1755849784.365488,8114,user1,process_start,resource_24,success,0.05547623659622654
1755434645.365908,7819,user2,logout,resource_60,success,0.015546927392996969
1755878344.366271,5835,guest,login,resource_73,success,0.16275900394138976
1755922516.366843,2581,user1,logout,resource_69,success,0.08364860725812379
1755527353.367207,9989,service,network_access,resource_5,success,0.07529267337560992
1755977648.367566,3193,guest,login,resource_11,success,0.0761781713262043
1755736246.367991,7938,user2,login,resource_98,success,0.02677042376012664
1756004956.368346,9175,user1,process_start,resource_81,success,0.14998214989399436
1755662574.368733,2460,user2,network_access,resource_37,failed,0.2755701098551573
1755498396.369092,8245,user1,login,resource_51,success,0.04144552980161129
1755804208.370926,5976,service,logout,resource_92,success,0.0044369484060603264
1755497207.371519,9865,user2,file_access,resource_50,timeout,0.11038136775489711
1755879443.372405,8901,service,login,resource_47,success,0.15693365278886193
1755519910.373125,5530,guest,process_start,resource_98,success,0.41798353737092664
1755455138.373539,8002,user1,logout,resource_52,success,0.09018208948322089
1755700898.373985,6115,user1,logout,resource_51,success,0.15929435513477547
1755497319.374359,7327,service,login,resource_84,success,0.19600651505709543
1755999791.374902,5300,user1,file_access,resource_75,success,0.025775944382129847
1755506490.375343,7238,user2,process_start,resource_4,success,0.1793576819812024
1755641646.375704,1666,admin,logout,resource_61,success,0.3081737232532958
1755524639.376062,5777,user1,network_access,resource_70,success,0.09215575360654515
1755855511.376419,3593,user1,logout,resource_45,success,0.01845811724574922
1755831067.376774,7493,user1,network_access,resource_81,success,0.16124025595861227
1755532430.377177,2276,guest,logout,resource_28,success,0.09250694322662958
1755638103.377535,5621,user1,file_access,resource_7,success,0.16888813452672577
1755556486.377891,6870,user1,logout,resource_38,success,0.04849410072694593
1755573626.378245,9905,user2,login,resource_86,success,0.023952426363850244
1755633437.378599,7168,admin,file_access,resource_18,success,0.10742130836370956
1755468162.378949,8943,user2,process_start,resource_83,success,0.06748936677438362
1755432625.379596,2761,user1,file_access,resource_70,success,0.0474453583471989
1755888939.380088,2605,user1,process_start,resource_94,success,0.057019033738769424
1755860370.380512,4735,service,file_access,resource_31,success,0.19647572338172128
1755464683.38089,8489,user2,file_access,resource_4,success,0.1950134325890285
1755893139.381287,3551,service,login,resource_66,success,0.11432253789397998
1755867819.381656,9915,user2,login,resource_12,success,0.12212400848832652
1755763377.382018,2828,user2,process_start,resource_77,success,0.010364707364485382
1755415527.382404,1260,user1,process_start,resource_2,success,0.461974889170927
1755996848.382762,2342,admin,login,resource_9,success,0.09431523771003168
1755575886.383115,8984,service,process_start,resource_50,success,0.14617349504072885
1755541352.383501,3635,user2,login,resource_40,failed,0.20961892879281754
1755917972.383856,9007,service,network_access,resource_14,failed,0.36502653533855944
1755465548.38424,3898,admin,logout,resource_62,success,0.17544010816262168
1755528088.384604,7943,user2,login,resource_23,success,0.11549725418122514
1755413344.384958,2248,user2,logout,resource_78,success,0.04580507818495927
1755469770.385311,2970,user2,file_access,resource_7,failed,0.33874352148066766
1755662306.385665,6742,admin,process_start,resource_94,timeout,0.15771944224490617
1755732427.386812,2120,service,file_access,resource_55,success,0.040908918633892656
1755973095.38818,5612,service,login,resource_38,success,0.07576431311138315
1755802393.388572,8863,user2,network_access,resource_29,success,0.14445051367861325
1755722607.388995,1094,user2,process_start,resource_36,failed,0.6198058729554653
1755409757.389368,7166,user2,file_access,resource_12,timeout,0.027823238828612373
1755463704.389727,8790,service,file_access,resource_76,success,0.18375010445214932
1755809644.390085,4876,service,logout,resource_92,success,0.013784307873443757
1755506644.390442,4368,guest,login,resource_46,success,0.03310410207345795
1755826765.390798,4030,guest,file_access,resource_40,success,0.37586113967710977
1755537084.391154,9393,service,network_access,resource_26,success,0.07963373871818867
1755824600.39151,2625,guest,logout,resource_7,success,0.1475002496219497
1755706848.391863,7783,user1,process_start,resource_51,success,0.11552639081830945
1755786393.392216,7320,service,file_access,resource_22,success,0.04253615686824526
1755846592.392571,1966,guest,login,resource_49,success,0.4721264035781468
1755798836.392924,7704,user1,network_access,resource_94,failed,0.24198111861911717
1755554078.393279,3079,user2,login,resource_45,success,0.1673129626584666
1755785182.39363,3065,user1,file_access,resource_47,success,0.10689117825144939
1755443072.393984,6797,service,process_start,resource_1,success,0.015100672760777846
1755694446.394337,5873,user1,logout,resource_97,success,0.031230519473238072
1755788906.394688,1832,user2,file_access,resource_88,success,0.40110157582120676
1755669161.395364,8221,user2,network_access,resource_67,timeout,0.11134431695667323
1755533033.396043,8970,user1,file_access,resource_16,success,0.13361702731412925
1755939002.396744,1943,user1,logout,resource_7,failed,0.6696256190933767
1755838068.397454,2308,user2,logout,resource_1,failed,0.2683634703395752
1755774575.398166,5566,user1,process_start,resource_5,success,0.15476690464026807
1755612943.398913,8083,user1,logout,resource_86,failed,0.22284758518407938
1755563859.399603,3679,guest,login,resource_81,success,0.10832684293217339
1755682442.400305,8368,user1,file_access,resource_4,success,0.18011446024727715
1755748751.400973,9996,user1,logout,resource_85,failed,0.29961815070220116
1755847631.401678,8184,user2,logout,resource_76,success,0.0021991657316960955
1755954134.402399,8992,user1,file_access,resource_40,success,0.12661961267148952
1755433148.403399,9646,user2,login,resource_26,success,0.15418227541285412
1755614641.40795,5225,user1,file_access,resource_65,success,0.12063042189327765
1755427796.40864,9340,service,file_access,resource_36,failed,0.259424343124635
1755627195.409076,5150,admin,network_access,resource_56,success,0.006236627012256935
1755760477.409526,2762,service,login,resource_62,denied,0.030934428176647245
1755826984.410097,1153,user2,login,resource_73,success,0.38255871012135045
1755612084.411101,2639,user2,file_access,resource_3,success,0.00046787812515565187
1755460491.411785,8009,user1,network_access,resource_44,failed,0.39241975715282357
1755824807.412264,4640,user2,process_start,resource_62,denied,0.15167848278913632
1755862034.412627,3708,service,network_access,resource_80,failed,0.2499336017718372
1755927906.41301,4993,user1,logout,resource_47,success,0.11765275139398622
1755636320.413366,6913,user2,logout,resource_7,success,0.13948405344936798
1755662657.413719,9007,guest,network_access,resource_82,failed,0.210976522929295
1755723790.414096,5497,user2,login,resource_14,success,0.046001767457540615
1755555012.414447,1130,admin,logout,resource_55,success,0.4144855518866931
1755911289.4148,7640,user2,login,resource_13,success,0.17719554964723744
1755401799.415184,9502,user2,logout,resource_30,success,0.037094581915344496
1755563601.41554,4810,user1,process_start,resource_29,failed,0.28038618272184845
1755407100.415894,1271,service,login,resource_10,success,0.3672740927656844
1755755165.416247,4760,user1,logout,resource_68,failed,0.317821706894179
1755783472.416657,9173,user1,login,resource_88,success,0.19128313951188503
1755413708.41701,5805,guest,file_access,resource_62,success,0.33340678921841505
1755812077.417364,6690,user2,network_access,resource_63,success,0.16612850355012493
1755703174.417746,1824,user1,login,resource_3,failed,0.6601539374259751
1755407291.4181,8214,user1,login,resource_99,success,0.10500630017205365
1755997703.418472,3466,service,login,resource_88,timeout,0.09267614964312398
1755427044.418826,8287,service,login,resource_73,timeout,0.17202536328358475
1755921800.419176,8490,user1,network_access,resource_9,success,0.17043870666940156
1755910983.419549,1954,user1,process_start,resource_79,success,0.43914285856995006
1755893143.421276,9228,user1,network_access,resource_28,success,0.17024138280975376
1755879369.422822,1317,user2,logout,resource_67,success,0.4356032305118127
1755755670.423836,2312,service,file_access,resource_80,success,0.17011634581884838
1755547062.42468,2704,user2,network_access,resource_89,timeout,0.0211668187657168
1755936086.426099,3469,user1,network_access,resource_45,timeout,0.005849456606911829
1755433434.42711,8561,service,network_access,resource_30,timeout,0.0002240222960218974
1755879151.427518,9780,user2,logout,resource_96,success,0.06528671530065859
1755877128.428114,3064,user1,logout,resource_60,success,0.16373588409996837
1755873281.428966,6445,user1,logout,resource_96,failed,0.27843024228903934
1755773602.429361,6084,service,process_start,resource_96,failed,0.3894595776512676
1755499313.429736,2040,service,login,resource_10,success,0.01158409211175966
1755628534.430103,7353,service,network_access,resource_76,failed,0.2260172480261264
1755716133.430467,6126,user1,login,resource_6,success,0.16375712867141876
1755716134.430831,4356,guest,file_access,resource_13,timeout,0.4054048192423724
1755667284.431194,2098,user1,logout,resource_47,success,0.13090224285622706
1755721174.431552,4778,guest,process_start,resource_56,success,0.4887231840335198
1755792417.43192,5179,user2,login,resource_69,denied,0.0818668012630086
1755763829.432279,1933,user1,network_access,resource_35,success,0.430333365075177
1755497957.432637,6390,user2,file_access,resource_72,success,0.040740249855254845
1755575700.432994,4380,user1,file_access,resource_46,success,0.003572378495663875
1755767100.43335,6655,guest,file_access,resource_20,failed,0.59630447030251
1755487011.433713,2875,user2,login,resource_60,success,0.11639428038287976
1755751014.434069,4788,user1,network_access,resource_18,success,0.07910901677599375
1755616770.434425,9357,user1,network_access,resource_89,timeout,0.15597019777866997
1755713129.434782,1778,user2,login,resource_17,success,0.41418090036883287
1755760162.435198,9783,user2,process_start,resource_20,success,0.15516094715859122
1755681535.435553,9032,user2,login,resource_77,success,0.16490280937936677
1755424087.455821,1917,user2,logout,resource_46,success,0.4642881456019733
1755996282.456744,9619,user1,file_access,resource_61,failed,0.2063172289651284
1755848273.460141,1552,service,logout,resource_92,failed,0.5678900385085612
1755456246.461397,3430,user1,process_start,resource_80,success,0.16345955399249876
1755906542.463381,8294,user2,logout,resource_14,success,0.01207041679811276
1755863962.46407,2560,service,logout,resource_19,denied,0.06737915835422137
1755976980.464713,3356,admin,file_access,resource_44,success,0.14384035565445277
1755836876.465699,9503,guest,file_access,resource_28,success,0.43604564848625826
1755425842.46626,1352,service,login,resource_94,denied,0.38318147322938817
1755773913.46664,9595,admin,process_start,resource_20,success,0.10866010467265769
1755662398.467136,5703,user2,logout,resource_98,success,0.17468464761633212
1755717199.467567,2394,user1,network_access,resource_12,success,0.09316256140404972
1755745244.467969,3958,user1,logout,resource_8,success,0.12037107673240172
1755808227.468348,7477,user2,network_access,resource_69,success,0.08743307776336531
1755708170.468893,4155,user2,login,resource_89,denied,0.05162668654022551
1755860528.469258,6543,user2,process_start,resource_45,success,0.04693480765231022
1755960622.469618,1629,user1,logout,resource_93,success,0.4657766731765219
1755588645.471094,7656,user1,process_start,resource_28,success,0.14728040301312811
1755727653.471989,4568,service,process_start,resource_79,success,0.1079811679004425
1755970653.472905,4953,guest,login,resource_37,timeout,0.00786870813370193
1755835258.4739,2058,user2,network_access,resource_59,success,0.10144696173767849
1755709219.474704,5585,user2,logout,resource_88,success,0.003475958037095928
1755435800.475477,8473,guest,file_access,resource_50,success,0.40644899776525983
1755966298.476027,7527,user1,process_start,resource_80,timeout,0.14657978366826838
1755883497.476402,9320,service,network_access,resource_96,success,0.19266936656407982
1755957040.476766,6238,guest,logout,resource_30,success,0.12356944804024278
1755968873.477125,1302,user2,process_start,resource_91,timeout,0.4379053502063122
1755903984.477483,4124,admin,login,resource_90,success,0.031857489048561026
1755505707.47784,1574,guest,login,resource_89,timeout,0.4564770968116547
1755482532.47825,4230,service,process_start,resource_98,success,0.06540663231264775
1755520395.478604,5114,service,logout,resource_13,failed,0.28711666296258664
1755610777.478959,9189,user2,login,resource_85,success,0.07329230697427958
