query_name_length,query_type,response_code,subdomain_count,is_tunneling
56,NS,NOERROR,4,0
87,A,NOERROR,4,0
28,AAAA,NOERROR,7,0
34,A,NOERROR,4,0
37,A,NOERROR,8,0
53,A,NOERROR,2,0
59,NS,NOERROR,4,0
55,AAAA,NOERROR,1,0
8,CNAME,NOERROR,9,0
13,A,NOERROR,6,0
48,A,NOERROR,0,0
40,A,NOERROR,5,0
58,A,NOERROR,1,0
94,A,NOERROR,3,0
18,AAAA,NOERROR,6,0
66,A,NOERROR,1,0
57,A,SERVFAIL,8,0
33,MX,NOERROR,6,0
13,MX,NOERROR,7,0
67,MX,NOERROR,2,0
39,MX,NOERROR,6,0
45,CNAME,NXDOMAIN,1,0
37,A,NOERROR,7,0
41,AAAA,NOERROR,2,0
69,A,SERVFAIL,2,0
5,AAAA,NOERROR,6,0
31,A,NOERROR,9,0
81,A,NXDOMAIN,0,0
56,A,NOERROR,4,0
27,AAAA,NOERROR,3,0
17,A,NOERROR,5,0
32,CNAME,NXDOMAIN,8,0
10,A,NOERROR,3,0
34,TXT,NOERROR,6,0
96,A,NXDOMAIN,0,0
31,A,NXDOMAIN,8,0
7,A,NOERROR,8,0
66,A,NOERROR,7,0
83,A,NOERROR,7,0
56,A,SERVFAIL,3,0
16,A,NOERROR,0,0
60,A,NOERROR,1,0
96,A,NOERROR,0,0
5,A,NOERROR,9,0
36,A,NOERROR,6,0
79,A,NOERROR,5,0
28,A,REFUSED,5,0
15,MX,NOERROR,8,0
63,A,NOERROR,3,0
63,A,NOERROR,2,0
24,AAAA,NOERROR,0,0
44,A,NXDOMAIN,0,0
15,A,NOERROR,6,0
35,TXT,NOERROR,9,0
64,A,REFUSED,4,0
41,TXT,NOERROR,8,0
23,AAAA,NXDOMAIN,7,0
58,MX,NOERROR,0,0
76,MX,NOERROR,2,0
93,AAAA,NOERROR,1,0
70,AAAA,NOERROR,8,0
37,A,NOERROR,3,0
12,MX,NOERROR,0,0
52,A,NOERROR,6,0
26,A,SERVFAIL,2,0
58,CNAME,NOERROR,4,0
34,AAAA,NOERROR,0,0
73,A,NOERROR,3,0
39,MX,NOERROR,4,0
10,A,NOERROR,7,0
97,A,SERVFAIL,2,0
64,TXT,NOERROR,4,1
36,TXT,NOERROR,1,0
29,A,NXDOMAIN,2,0
50,A,NOERROR,5,0
27,A,NOERROR,1,0
94,AAAA,NOERROR,5,0
52,A,NOERROR,9,0
54,TXT,NXDOMAIN,9,1
11,A,NOERROR,0,0
12,AAAA,NOERROR,2,0
91,A,NOERROR,6,0
67,A,NOERROR,5,0
62,TXT,NOERROR,9,1
74,A,NOERROR,4,0
12,MX,NOERROR,4,0
72,MX,NOERROR,2,0
59,A,NOERROR,1,0
34,A,NOERROR,2,0
96,AAAA,NOERROR,9,0
66,MX,NOERROR,4,0
5,A,NOERROR,1,0
52,A,NXDOMAIN,0,0
20,A,NOERROR,4,0
26,AAAA,NOERROR,9,0
20,A,NOERROR,4,0
51,A,NXDOMAIN,3,0
73,A,NOERROR,4,0
43,A,NOERROR,4,0
27,A,NXDOMAIN,3,0
38,A,NOERROR,2,0
62,A,NOERROR,3,0
20,A,NOERROR,0,0
96,A,NXDOMAIN,7,1
16,A,NOERROR,0,0
65,A,NXDOMAIN,2,0
69,NS,NXDOMAIN,1,0
39,A,NOERROR,9,0
78,A,NXDOMAIN,8,1
11,A,NOERROR,7,0
40,A,SERVFAIL,3,0
14,A,NOERROR,2,0
53,AAAA,NOERROR,0,0
28,TXT,NOERROR,0,0
59,MX,NOERROR,8,0
34,CNAME,NOERROR,8,0
90,A,NOERROR,3,0
16,NS,NXDOMAIN,8,0
75,NS,NOERROR,3,0
87,A,NOERROR,4,0
16,A,NOERROR,3,0
57,MX,NOERROR,4,0
46,NS,REFUSED,9,0
9,AAAA,NOERROR,1,0
80,AAAA,NXDOMAIN,0,0
11,A,NOERROR,8,0
54,TXT,NOERROR,4,1
42,NS,NOERROR,0,0
90,MX,NXDOMAIN,8,1
49,MX,NOERROR,2,0
65,A,NOERROR,9,0
94,A,NOERROR,1,0
96,A,NOERROR,7,0
65,MX,NOERROR,2,0
81,A,NOERROR,0,0
29,TXT,NOERROR,5,0
62,A,SERVFAIL,4,0
84,A,REFUSED,4,0
40,A,SERVFAIL,1,0
51,AAAA,NOERROR,0,0
58,A,NXDOMAIN,8,1
79,A,SERVFAIL,7,0
80,A,NOERROR,9,0
96,AAAA,NOERROR,1,0
32,A,SERVFAIL,5,0
67,A,NOERROR,3,0
81,AAAA,NOERROR,2,0
10,CNAME,NOERROR,8,0
70,A,NXDOMAIN,4,0
37,MX,NOERROR,0,0
15,A,NOERROR,5,0
63,MX,NXDOMAIN,1,0
5,A,NOERROR,0,0
