url_length,num_dots,subdomain_level,https,shortening_service,suspicious_words,is_phishing
112,4,4,0,0,7,1
198,5,1,0,0,7,1
126,4,2,1,0,1,0
167,6,1,1,1,4,1
170,6,4,1,0,0,1
68,3,3,0,1,8,1
140,5,2,0,0,8,1
176,2,3,0,1,1,1
18,5,1,1,1,6,1
181,8,2,1,0,3,0
141,2,1,1,1,1,0
171,4,3,0,1,7,1
91,5,1,0,1,8,1
166,1,0,0,0,7,1
138,8,2,0,0,7,1
172,3,0,0,0,9,1
50,7,0,1,1,1,1
160,8,4,0,1,7,1
44,1,2,0,0,2,0
151,7,2,0,0,9,1
51,3,0,1,0,3,0
160,7,4,0,0,3,1
22,7,2,0,1,1,1
179,9,4,1,1,3,1
39,7,3,0,0,0,1
138,9,2,1,0,3,0
12,7,2,0,1,4,1
60,8,2,1,1,7,1
189,1,0,1,1,6,1
139,3,0,0,0,7,1
90,1,1,1,1,5,1
96,5,0,0,0,1,1
62,6,3,0,0,7,1
132,1,4,1,1,5,1
148,1,0,1,0,5,0
12,4,3,0,1,2,1
99,3,2,1,1,6,1
61,9,0,1,1,6,1
91,8,0,0,1,8,1
187,7,1,0,0,9,1
121,9,3,1,0,1,1
138,5,4,1,0,6,1
18,9,2,0,1,2,1
157,8,0,1,1,0,1
173,6,3,1,0,8,1
108,9,4,1,1,1,1
63,3,4,0,1,0,1
77,1,4,1,1,7,1
137,8,2,0,1,0,1
185,3,4,0,1,7,1
36,2,4,1,0,0,0
70,3,3,0,1,0,1
26,5,2,1,0,4,0
55,5,2,1,0,3,0
169,7,0,1,0,1,0
63,3,1,1,0,5,0
136,2,1,0,1,0,1
146,6,4,1,0,9,1
108,2,0,1,0,9,1
45,4,0,1,1,2,0
101,2,1,1,0,5,0
195,6,1,1,1,0,1
189,6,2,1,0,0,0
69,5,3,1,0,3,0
108,7,3,1,0,1,1
133,3,0,1,0,2,0
192,5,1,0,1,6,1
136,9,3,0,0,9,1
131,1,1,1,1,5,1
57,9,4,0,0,6,1
78,6,4,0,0,9,1
153,3,4,1,0,4,1
56,1,3,0,1,9,1
185,5,3,0,1,4,1
32,6,4,1,1,3,1
147,3,1,1,0,7,0
13,8,1,0,1,3,1
161,2,2,1,0,0,0
180,5,3,0,0,0,1
177,2,4,0,1,2,1
90,8,4,1,1,9,1
171,3,0,0,1,9,1
123,8,3,0,0,8,1
173,5,0,1,1,2,1
186,3,3,1,0,6,1
105,8,4,1,0,6,1
22,7,0,0,0,0,0
