ip_address,threat_type,confidence,first_seen,last_seen
103.180.93.15,c2,0.8017219002454924,1755273156.837179,1755328042.837179
122.211.215.75,c2,0.8795585311974417,1753732981.839013,1753924316.839013
152.131.150.53,phishing,0.7497988950401423,1755678267.839919,1755877308.839919
192.188.21.161,spam,0.6504878444394528,1755015900.840455,1755274695.840455
89.49.219.59,phishing,0.1419990968922539,1755478301.840961,1755930667.840961
190.190.175.190,c2,0.4442157921404465,1753634646.841532,1753965882.841532
51.135.21.73,phishing,0.9539969835279999,1754539647.842065,1754607795.842065
130.84.92.111,spam,0.20983441136030095,1755748828.842653,1755855358.842653
206.81.164.50,spam,0.3805399684804699,1753699923.843361,1754041020.843361
4.54.221.191,phishing,0.7976195410250031,1755808567.843857,1756369920.843857
190.228.14.95,spam,0.14070456001948428,1755425457.84428,1755646341.84428
208.237.82.111,scanning,0.6280760490974634,1754237696.844734,1754670011.844734
124.237.41.157,scanning,0.16709557931179375,1753605266.845243,1753869978.845243
88.129.236.136,c2,0.27895816367992465,1754268241.845719,1754282227.845719
163.33.123.5,phishing,0.4226191556898453,1754161936.846186,1754192471.846186
12.162.33.48,scanning,0.7566455605042577,1754683651.846648,1754708189.846648
35.193.227.101,c2,0.7847065437552077,1754032346.847181,1754151522.847181
207.15.90.42,spam,0.19710228429397403,1755235738.847648,1755285753.847648
231.241.52.253,spam,0.9168098265334838,1754850882.848112,1755049168.848112
171.29.36.13,c2,0.725306439735734,1753492669.848581,1753536254.848581
170.45.62.185,scanning,0.884314531168946,1755805101.849051,1755831040.849051
30.190.75.128,phishing,0.20987915923060602,1753520923.849521,1753975512.849521
121.116.205.233,c2,0.10625691747807164,1755983377.849981,1756211953.849981
51.234.172.152,c2,0.3908826388186797,1754991993.850441,1755585121.850441
180.113.62.241,phishing,0.9662025654479001,1755940018.850904,1756422708.850904
113.101.113.184,malware,0.3401029128477565,1755780055.851363,1756174125.851363
229.224.225.129,c2,0.7126349063992902,1755168045.851819,1755293702.851819
160.198.160.247,spam,0.17276799369944373,1753798433.852271,1754179483.852271
145.38.24.69,spam,0.9850808268053587,1754343427.852757,1754902413.852757
240.144.97.201,spam,0.5573788990666468,1753856521.853261,1753872229.853261
3.148.252.187,spam,0.11492904603507054,1754397718.853762,1754540201.853762
96.199.52.233,malware,0.4578148189787701,1755261362.854255,1755534617.854255
129.11.220.185,malware,0.28816445866394236,1754148410.855279,1754703004.855279
7.252.144.90,malware,0.5649723021439129,1755631720.855836,1755997591.855836
254.140.197.37,c2,0.2698363975072414,1753638640.856345,1754018642.856345
147.48.208.131,spam,0.8983777818386056,1753519969.856904,1753841153.856904
152.116.75.113,spam,0.9086987696743714,1754253046.857754,1754386318.857754
93.146.128.110,phishing,0.537052378227604,1755223862.858504,1755678213.858504
189.169.228.161,spam,0.3135241787471201,1755127492.859276,1755607539.859276
148.248.128.136,c2,0.691851603070309,1753651497.860521,1753758947.860521
115.214.119.22,scanning,0.5380679376635096,1754805950.861063,1755098840.861063
226.21.30.97,spam,0.7020316536967897,1755275433.86162,1755321147.86162
4.35.192.49,malware,0.9950954597176069,1755069243.862216,1755374871.862216
46.117.6.99,spam,0.11391095487598069,1753496257.862755,1753627630.862755
181.95.99.188,malware,0.1678116304055154,1755863772.863292,1756241584.863292
160.215.161.67,phishing,0.6011211362125152,1754016163.863877,1754382053.863877
104.174.24.114,phishing,0.3287472841627649,1754421743.864457,1754597832.864457
17.104.161.137,c2,0.7380198972191068,1755637682.865034,1756216718.865034
170.247.26.99,phishing,0.8803650867220933,1755341260.865602,1755561223.865602
250.135.57.36,scanning,0.27484655816083803,1754719211.866197,1755313530.866197
142.204.115.215,spam,0.6209784059568029,1755339010.866768,1755569239.866768
51.153.186.63,scanning,0.855040151862427,1755777439.867357,1755808463.867357
180.170.70.15,c2,0.2143544613866963,1754019748.867919,1754271199.867919
236.108.5.103,spam,0.8578207675107832,1755815929.868486,1756265324.868486
94.47.99.55,spam,0.21947088001867282,1755782470.869046,1755869142.869046
120.63.19.92,phishing,0.17061074320803937,1755822274.869642,1756216640.869642
137.140.245.129,phishing,0.9236923548638324,1754962103.870096,1755139350.870096
126.118.48.89,scanning,0.3519405072513486,1755598620.870589,1756045058.870589
192.191.69.22,scanning,0.47764005618501093,1753840969.87107,1753985325.87107
86.185.29.206,spam,0.14140237781957748,1755926555.872973,1756118030.872973
197.204.144.218,phishing,0.5424542876051491,1753423221.873503,1753879189.873503
254.222.101.23,phishing,0.6542650882469948,1754596500.874043,1755189173.874043
180.223.138.250,c2,0.552822632722079,1755814104.874617,1756118223.874617
69.237.4.16,phishing,0.12386017948745964,1755283589.875148,1755432732.875148
140.178.163.124,malware,0.512427601442365,1754601006.875663,1754852498.875663
12.67.65.161,phishing,0.2860159238890708,1753756348.876207,1753865288.876207
12.95.46.130,scanning,0.18499866468033555,1754332086.876733,1754883724.876733
81.90.8.93,phishing,0.7134523020755108,1755939383.877319,1756439711.877319
135.196.58.245,phishing,0.6660485621018956,1753776700.877842,1754308531.877842
164.217.21.253,malware,0.5931746949232786,1755314241.878362,1755428593.878362
99.240.36.210,malware,0.7987716646677971,1755604763.879038,1756030458.879038
37.12.113.183,scanning,0.7659178844026371,1753493616.879692,1753679757.879692
17.113.62.84,malware,0.38804464092755064,1755939102.88021,1756503344.88021
177.100.140.189,malware,0.8624288296860307,1754231504.880616,1754290667.880616
206.223.128.52,c2,0.5437230919946244,1754817353.881107,1755037537.881107
180.123.213.228,scanning,0.8124211393532637,1753618848.881595,1753708628.881595
42.186.167.142,phishing,0.4973774512360394,1755967234.882132,1756041694.882132
235.75.146.239,spam,0.7192270091575351,1755791391.882702,1756023306.882702
145.253.230.7,scanning,0.3003187758139275,1755287120.883221,1755642369.883221
27.122.194.5,scanning,0.17635394267667273,1754667654.883758,1754695949.883758
240.109.65.86,spam,0.31301667431387087,1753998994.884301,1754393534.884301
132.36.70.252,c2,0.7994322243346931,1755978546.884909,1756426891.884909
19.39.126.195,scanning,0.11021828029067716,1755215195.885398,1755245550.885398
220.200.61.127,malware,0.7697904912489681,1754393174.88595,1754894882.88595
92.190.249.191,spam,0.35714087765367464,1754136737.886499,1754350657.886499
166.117.134.58,spam,0.9801106018788438,1754540844.887089,1754668992.887089
80.118.213.203,spam,0.16641690826185898,1755389686.88783,1755813256.88783
20.185.146.47,malware,0.2951281959278421,1753648970.889327,1754150078.889327
54.118.3.144,malware,0.9237289075021957,1755076857.89024,1755087880.89024
200.102.204.152,spam,0.40209405831726686,1754442037.890767,1754765710.890767
136.186.60.178,spam,0.16996117326848637,1755214069.89125,1755758516.89125
155.246.191.145,malware,0.378574854657695,1754637573.891732,1754720417.891732
141.46.35.253,phishing,0.47497515196463125,1755541780.892202,1756117058.892202
153.194.10.56,phishing,0.5964290852896631,1755480033.893129,1755541846.893129
65.146.224.239,malware,0.43906507294414665,1753622207.895372,1753757437.895372
217.86.59.27,malware,0.8544958342400241,1755734490.896057,1755734894.896057
240.55.6.220,malware,0.5809116475265168,1753672819.896569,1754015605.896569
181.23.229.53,scanning,0.7813730818382103,1754812232.89707,1755319196.89707
78.201.110.1,c2,0.3472586173233179,1755161813.897599,1755708050.897599
193.113.232.32,phishing,0.4223464462295564,1754818449.898094,1755326602.898094
162.182.118.3,c2,0.37699951579394453,1755365283.898584,1755491200.898584
222.251.57.145,scanning,0.6582785962181182,1754471310.899401,1754787136.899401
103.166.192.252,phishing,0.4155288029259373,1755687799.900112,1756238021.900112
91.179.191.226,spam,0.5927016762092004,1754073089.900637,1754377551.900637
252.30.247.106,c2,0.727877684344117,1753542844.901156,1753975871.901156
138.184.145.74,malware,0.3324199494690625,1755355137.901657,1755578914.901657
6.53.194.205,c2,0.6216849410245645,1755343722.902153,1755842592.902153
80.95.203.118,spam,0.2636920759592304,1753735872.902639,1753993090.902639
96.195.155.93,phishing,0.6417418559868642,1755076518.903126,1755493688.903126
21.5.210.92,phishing,0.2593094358490722,1753777624.903655,1754144448.903655
12.90.46.34,malware,0.5530755437693712,1754743870.904516,1754767494.904516
26.249.47.121,c2,0.9287851604786319,1753724316.911647,1753819573.911647
36.1.8.113,c2,0.26606891742073957,1754437898.912161,1754913672.912161
56.214.14.218,spam,0.43202227561279516,1754284652.912591,1754651909.912591
14.187.56.115,c2,0.9056861539184794,1753459310.913044,1754022236.913044
252.237.18.250,c2,0.4574474492536743,1754386201.913449,1754817935.913449
229.28.202.39,malware,0.856638987290138,1754557315.913893,1755007324.913893
126.44.25.145,scanning,0.6342332081986438,1754324373.914301,1754856222.914301
67.233.109.146,spam,0.583395887636693,1755468138.914698,1755803761.914698
168.113.236.83,phishing,0.355398315218852,1755003173.915214,1755575908.915214
226.187.184.59,scanning,0.39731363315282264,1755584096.915634,1755700517.915634
70.247.112.4,c2,0.1790988620861295,1755142779.916095,1755287769.916095
152.55.137.247,c2,0.5720602506132292,1754972081.916505,1755512758.916505
66.212.220.75,spam,0.10477000575784488,1754039139.916979,1754427091.916979
94.248.230.179,malware,0.7466115437528983,1754615377.917446,1754860138.917446
179.173.44.133,phishing,0.39131131276381936,1754767621.918425,1754948069.918425
20.113.140.47,malware,0.6495580381974694,1753666201.91898,1754233022.91898
37.126.139.100,scanning,0.5793304892964273,1755723064.919481,1756108989.919481
178.248.10.5,phishing,0.9909642091509507,1755626444.920021,1755631731.920021
130.84.65.63,scanning,0.10243980947289671,1753921744.920509,1754014814.920509
152.38.247.163,malware,0.8656547140148092,1755218669.929547,1755523742.929547
78.117.120.203,malware,0.28450162904791354,1754620918.930187,1755007512.930187
1.40.64.150,spam,0.8576458990824448,1755473041.930656,1755730843.930656
105.229.14.60,c2,0.24783921813789367,1755483092.931228,1755895590.931228
123.78.154.62,spam,0.3845769240668452,1754218415.931816,1754695687.931816
146.40.72.39,c2,0.6616913897636538,1753690050.93237,1753793024.93237
143.225.153.145,malware,0.4523338991813517,1753496587.932796,1753588850.932796
179.39.179.198,c2,0.6649372477642761,1754466735.933207,1754947438.933207
244.15.111.157,malware,0.5801149827786893,1754554098.933691,1754652821.933691
157.38.185.97,scanning,0.3236402258330192,1753643704.93411,1754009525.93411
196.86.66.10,scanning,0.8890890730855745,1754781816.934516,1755352301.934516
38.141.159.47,spam,0.5113001973535105,1754105893.93493,1754408668.93493
15.157.136.5,scanning,0.3063262557093773,1753544845.935339,1753827598.935339
155.95.115.243,spam,0.5884519990128366,1754302142.935742,1754897745.935742
11.254.74.104,phishing,0.9525550056506338,1755871821.936269,1756078809.936269
104.190.210.217,malware,0.11629916543875646,1755775133.9368,1755987084.9368
68.133.120.37,phishing,0.7941220016677641,1754236090.937307,1754346035.937307
137.246.51.29,malware,0.9330116616160987,1753623924.937922,1753756641.937922
164.182.215.57,malware,0.8829067258559155,1754788258.939422,1755220756.939422
168.143.149.175,malware,0.76982468665896,1753850639.941862,1754362050.941862
57.117.154.169,c2,0.45835182423184895,1754776000.943246,1755242725.943246
130.135.210.219,phishing,0.9266092524453711,1755343193.943783,1755909395.943783
108.251.179.182,malware,0.5485309954655317,1755622184.944352,1755716454.944352
235.150.154.156,phishing,0.6971836348150395,1754710034.944929,1755280485.944929
105.177.148.118,spam,0.5815627470402928,1754966440.945567,1755118318.945567
1.224.141.222,c2,0.28891503378602723,1753456902.946089,1753550403.946089
32.158.29.49,scanning,0.43995335269615243,1754338865.946559,1754559043.946559
18.1.78.115,phishing,0.5719512423948221,1754574845.946957,1755137133.946957
114.222.166.179,spam,0.263735317445744,1754040380.947428,1754314866.947428
103.131.32.10,phishing,0.9076873688369957,1755097911.947908,1755281586.947908
225.87.55.220,phishing,0.8802943840103712,1754749154.948377,1755254969.948377
215.187.253.72,malware,0.8199244768358704,1754277240.949137,1754624979.949137
239.8.162.35,c2,0.9663843866993872,1755688421.949999,1756188297.949999
182.213.142.223,phishing,0.11170173115966243,1753653458.950711,1753931634.950711
151.85.147.112,scanning,0.8887996682877645,1754513084.951241,1754675575.951241
82.2.129.47,scanning,0.40763561652808844,1754067458.951726,1754275448.951726
140.20.5.37,malware,0.492513876221785,1753770029.952354,1753890703.952354
244.250.86.108,malware,0.8816211783081215,1755461985.952848,1755529627.952848
238.215.128.224,malware,0.5363005304353116,1755478475.953357,1756038130.953357
194.237.25.103,malware,0.22542046666554172,1755888597.953947,1756126606.953947
29.109.98.215,scanning,0.11655160889272007,1754990407.954419,1755508678.954419
85.42.100.41,phishing,0.5987602022642141,1755776832.954936,1756302742.954936
117.106.86.213,c2,0.9100167776632946,1754778860.958139,1755351072.958139
199.138.173.145,phishing,0.4639433513941219,1754272027.95909,1754782612.95909
46.64.130.252,c2,0.2659338286110669,1753887012.959668,1754422855.959668
115.26.29.149,c2,0.35982436309362986,1755129305.960357,1755351625.960357
187.39.232.227,phishing,0.4569844357468489,1754689763.961755,1755172378.961755
33.250.36.239,spam,0.24581249010242617,1754834971.962434,1755398149.962434
226.201.154.194,scanning,0.40994535883980987,1754398464.963143,1754791740.963143
171.104.42.25,c2,0.8371920859067797,1753480948.96379,1753980831.96379
179.222.102.98,spam,0.4248765072460241,1754624990.964365,1755053978.964365
17.74.57.55,malware,0.2666196359547577,1755305353.965241,1755698907.965241
8.223.149.81,scanning,0.7230489080660673,1753587987.965705,1754052058.965705
25.210.89.12,c2,0.9889012071969823,1754440618.966498,1754478259.966498
16.199.145.151,phishing,0.6111507074973666,1754075871.967076,1754551397.967076
14.79.117.7,malware,0.27333912500706736,1755800721.967678,1756277378.967678
59.215.221.82,spam,0.8600944586815633,1755939186.968218,1756028799.968218
159.152.227.108,spam,0.5329556954596778,1755005782.968773,1755139837.968773
218.183.215.108,malware,0.5845613413427088,1753761795.969265,1754031503.969265
210.161.16.237,phishing,0.8889988400762046,1753798167.969803,1753921785.969803
170.34.158.251,scanning,0.5760434206244908,1753466425.970577,1754030687.970577
46.244.29.190,malware,0.46173782224831794,1754358500.971185,1754551759.971185
185.16.184.236,malware,0.7914460724780664,1754145754.971726,1754395949.971726
133.65.222.177,c2,0.5205796898838874,1755456097.973385,1756012798.973385
242.68.146.190,scanning,0.1378838706727257,1754734872.973863,1754901344.973863
143.49.121.88,spam,0.29642849907855773,1755413684.974998,1755652190.974998
124.198.39.184,c2,0.9133515704577434,1755825984.975627,1756019267.975627
59.72.148.93,scanning,0.8475782659755621,1755053675.976234,1755355861.976234
226.57.218.169,malware,0.9615432366849931,1755860065.976727,1755978598.976727
5.5.54.47,malware,0.566434330008753,1753452485.977199,1753601854.977199
241.61.123.234,c2,0.7824146281336821,1754965832.977668,1755340831.977668
3.160.227.230,scanning,0.30143585334036077,1755290256.978149,1755324957.978149
101.98.11.105,c2,0.34566343737068345,1755514300.978821,1755841604.978821
195.153.226.76,phishing,0.8285644672523903,1755678420.979503,1756130398.979503
187.226.216.124,c2,0.7510781023197265,1754390599.980094,1754793718.980094
205.28.197.205,malware,0.15536532361531155,1755602604.980622,1756108683.980622
62.93.115.186,c2,0.4130282871119738,1754795127.981303,1755128990.981303
91.205.237.33,c2,0.8813447236463923,1755282301.981847,1755772343.981847
59.48.169.13,c2,0.3148210281709158,1754275108.982487,1754795655.982487
191.155.166.188,scanning,0.8927836832790356,1755295674.983016,1755867600.983016
170.138.160.107,scanning,0.769157430662447,1755388807.9837,1755800810.9837
2.206.77.221,spam,0.10574728454515023,1755516364.984303,1755591782.984303
113.233.17.104,phishing,0.6706051327896502,1754630764.984917,1754889486.984917
240.70.211.158,phishing,0.48901670550326104,1754812407.985567,1755135797.985567
156.60.79.222,scanning,0.19225875519161134,1754348665.986096,1754787420.986096
242.68.219.192,malware,0.793885863278922,1753582152.9867,1754180049.9867
118.193.22.218,c2,0.867173193278783,1754841386.98713,1755390534.98713
204.164.251.227,spam,0.7824368763361204,1755262930.987699,1755795031.987699
111.79.160.179,c2,0.7149658389458546,1753470399.988402,1753482144.988402
174.226.29.4,malware,0.1919742577243471,1753695154.991273,1754261288.991273
29.157.75.116,phishing,0.795540502015124,1753593733.992454,1753877919.992454
195.81.126.236,spam,0.7581430602763171,1754524330.993612,1754737273.993612
101.187.84.6,c2,0.346793682113803,1753517654.994056,1753759185.994056
166.15.162.189,c2,0.12802067459606023,1754718400.994708,1755063255.994708
12.18.15.236,c2,0.9713740851232495,1753530368.995328,1753960028.995328
53.8.79.27,phishing,0.784921591848699,1754958422.996101,1755196682.996101
24.60.122.131,spam,0.8168835618785587,1755674432.996588,1755722269.996588
206.199.17.126,spam,0.32278596004303767,1754590515.997126,1755189547.997126
188.63.214.246,scanning,0.3420940639915879,1755395340.997691,1755553001.997691
64.82.110.239,c2,0.7254836975138883,1753856989.998294,1754139714.998294
169.136.11.214,c2,0.1944371605763574,1754917261.999005,1755305221.999005
46.160.207.80,spam,0.7322184734896936,1755668751.999578,1755691182.999578
242.252.97.2,malware,0.17907984923035003,1755829261.000066,1756048985.000066
116.154.150.103,phishing,0.9797197476833072,1755954476.000621,1756292517.000621
242.143.226.106,spam,0.19411105630096023,1755161245.001129,1755556386.001129
9.6.73.103,malware,0.7381544675058248,1755640978.001582,1755900909.001582
62.84.62.111,c2,0.5359586028166365,1754779526.002035,1754878037.002035
132.134.58.22,phishing,0.5328134483040864,1755852977.002609,1756414142.002609
203.210.246.12,spam,0.2435902121018695,1753824999.003033,1753976093.003033
238.100.173.136,scanning,0.8107286564282312,1753837859.003432,1754058830.003432
82.198.146.211,scanning,0.9967005244510677,1755215985.003919,1755700395.003919
131.156.202.243,c2,0.298505012430091,1754154020.004332,1754733538.004332
207.97.135.76,malware,0.8814452548675424,1753776157.00477,1754007604.00477
148.37.4.220,spam,0.7909514992601022,1755704130.005338,1756080499.005338
177.179.96.105,spam,0.12645500118085656,1755973752.007289,1756388983.007289
228.66.79.162,spam,0.47954883418610994,1754027056.007815,1754306978.007815
186.246.125.12,c2,0.6606699252071345,1755745221.008246,1756266206.008246
8.100.240.222,phishing,0.3137889924314899,1754661475.008786,1755250087.008786
166.237.41.62,spam,0.4645187191722894,1755382732.009278,1755679922.009278
217.84.130.231,malware,0.4519733829865846,1754626968.009731,1754953786.009731
229.5.193.168,spam,0.21778629464651483,1755599533.010247,1755835339.010247
139.10.195.118,phishing,0.5038998164482628,1754093710.010823,1754205163.010823
105.1.133.20,c2,0.9537250193662904,1753537185.01127,1753750752.01127
118.212.28.121,c2,0.7627618135590765,1754679054.011825,1754771378.011825
49.241.120.44,spam,0.877794559906752,1753758804.012358,1753890495.012358
251.189.148.114,phishing,0.21067372767666404,1755652038.012855,1755810530.012855
1.119.35.198,scanning,0.9404875157751145,1754292201.013224,1754588342.013224
12.234.20.181,phishing,0.9686068267924409,1755759791.013802,1755956524.013802
226.217.50.29,malware,0.6221010067259213,1754638114.014249,1754644684.014249
178.151.172.38,spam,0.21316736062598396,1754662061.014719,1755052540.014719
178.234.124.119,phishing,0.2695141753890413,1754456035.015255,1754504355.015255
55.119.218.171,phishing,0.11576439177585601,1755976712.015786,1756262945.015786
136.47.232.113,spam,0.20179883716891572,1753477761.016245,1753793966.016245
196.33.1.147,scanning,0.7002743652918165,1755847281.016705,1756407628.016705
194.242.192.198,malware,0.8797948007748809,1755262849.017205,1755785677.017205
159.233.203.68,phishing,0.46372628948592964,1753423220.017649,1753459541.017649
82.141.233.23,c2,0.8820105629865139,1755610754.018226,1755849143.018226
199.89.213.143,malware,0.4298153813842581,1755340869.018774,1755549655.018774
60.93.217.161,malware,0.591118199645926,1755646647.019543,1755726620.019543
218.11.99.200,phishing,0.7834098951305793,1754092753.020634,1754639653.020634
26.72.48.194,spam,0.12307785922579212,1754169152.021324,1754304984.021324
12.133.226.48,scanning,0.3214626929181984,1755434230.021728,1755770144.021728
176.87.70.46,phishing,0.743941816389347,1755456453.024306,1755515635.024306
117.124.143.25,spam,0.9343310903166759,1755746820.026666,1756186917.026666
78.125.196.240,scanning,0.3563856117657306,1754753259.027327,1754897798.027327
35.136.144.106,spam,0.7458722073177666,1753895896.027969,1754153264.027969
94.203.7.95,spam,0.26329451292606426,1755941691.028601,1756207489.028601
191.56.241.170,scanning,0.3309065053312274,1755849654.029254,1756386091.029254
7.54.129.172,scanning,0.6698362380346201,1755011167.0299,1755222997.0299
150.118.21.214,spam,0.3052717947540392,1755443665.030558,1755965663.030558
10.216.122.121,scanning,0.9153019943089843,1754229570.031209,1754462171.031209
91.37.68.50,c2,0.8660568347674937,1753745203.031858,1754043388.031858
89.146.147.164,phishing,0.5065909108635063,1755810091.032588,1756360539.032588
227.108.226.161,scanning,0.18614309996814554,1755141674.033372,1755210062.033372
143.163.220.199,c2,0.30875238650437786,1754798476.034231,1755249476.034231
254.153.2.64,c2,0.6373422252061225,1755747656.035411,1755841674.035411
42.118.125.167,malware,0.7231925361919327,1755811827.036084,1755921674.036084
188.46.19.68,phishing,0.40350441947987836,1754925754.036802,1755242151.036802
36.232.229.97,spam,0.27268059224686864,1755449682.037496,1755504306.037496
123.70.169.231,spam,0.4981689428326026,1755018584.038229,1755291484.038229
172.27.160.149,phishing,0.7121187379931062,1754457262.038895,1754951210.038895
58.3.86.70,phishing,0.9947254250990508,1755291401.043886,1755803179.043886
98.215.30.116,spam,0.17989065469699161,1753865357.044498,1754138027.044498
47.249.55.208,phishing,0.18700880468204767,1755251041.045128,1755376023.045128
144.12.145.144,spam,0.9831127369098734,1754814935.045708,1754913475.045708
23.92.115.104,scanning,0.7634622025065188,1755811554.047939,1755830306.047939
121.30.149.84,phishing,0.8091117894630385,1754165434.048775,1754285402.048775
245.16.204.38,spam,0.7378702279686787,1755886924.049471,1756154850.049471
114.237.66.105,scanning,0.4116895917301032,1755613201.050099,1756061531.050099
67.180.190.151,phishing,0.6405349000245556,1755771555.050717,1756361293.050717
143.86.60.101,spam,0.28765946292160227,1755337648.051338,1755624961.051338
173.35.158.216,phishing,0.8812510210967053,1754882900.051951,1755176794.051951
180.14.73.143,scanning,0.12060444247850823,1753983103.052605,1754528000.052605
163.210.206.20,phishing,0.6768748696107988,1755082177.053418,1755539133.053418
54.33.164.95,malware,0.6456276439758797,1755312292.054562,1755458080.054562
180.131.227.169,malware,0.6996761972515357,1754195960.055388,1754213307.055388
25.79.68.173,spam,0.7990512674245234,1753682814.062054,1753891338.062054
31.78.20.146,scanning,0.19509821583556952,1755140692.064262,1755520243.064262
93.43.254.130,spam,0.4283183972300766,1753908743.065024,1754475944.065024
10.89.130.126,c2,0.7788281899094768,1754471483.065478,1754627587.065478
215.83.137.99,scanning,0.209246445480186,1753682716.065882,1753710857.065882
115.7.80.144,spam,0.6562465068584674,1754385622.06649,1754878780.06649
40.17.101.103,spam,0.37562825870795047,1754071606.066871,1754567643.066871
231.178.63.229,spam,0.46431858617667987,1754774493.067274,1755133411.067274
155.92.214.14,scanning,0.44837088430206773,1754763740.0677,1754957458.0677
130.62.219.149,scanning,0.7842608408099215,1754326176.06813,1754548260.06813
65.13.213.218,phishing,0.6663689254096625,1755302901.068541,1755749537.068541
160.164.209.227,malware,0.5931635400763237,1754820891.068956,1755105455.068956
