domain_length,entropy,consonant_ratio,digit_ratio,unique_chars,vowel_ratio,consecutive_consonants,has_common_tld,is_dga
16,3.4635401035010123,0.47905000400382053,0.09603486196737528,11,0.3197369658579245,1,1,0
28,3.93192040503675,0.6751518776309409,0.3041854326473652,24,0.13432093929320094,6,0,1
41,3.5400412807147923,0.6960650662015746,0.3120505089051189,15,0.10143735686032954,4,1,1
14,2.2434243043006754,0.43276620700982393,0.03701759756881048,8,0.3405950999087135,2,0,0
13,3.484163012024294,0.4199927648985915,0.09289918956112903,6,0.4517624714797571,1,1,0
17,2.9783765823465416,0.307851302599972,0.01153076761242945,12,0.49198029905304036,1,1,0
10,2.4588843228222697,0.5037007565349285,0.0892204971028751,5,0.35095988401477557,2,1,0
33,4.290009016028446,0.7783440289038558,0.34462055838023475,17,0.12990623905252943,7,0,1
5,2.0849578851360078,0.3935487360590996,0.007005348580936522,7,0.328263793361054,2,1,0
25,4.495446997594985,0.6154597584702588,0.4327380456410568,24,0.2717242685395552,7,0,1
15,3.36225887200518,0.3547246872635979,0.02432491637805182,12,0.40202470317416844,1,1,0
18,3.5129617671578246,0.8542335662697031,0.4921602914750314,12,0.20143500863506253,3,1,1
31,4.395742768198756,0.6305610801286783,0.39120171615692445,15,0.16369243246021636,6,1,1
18,2.635596404682813,0.4441908200325619,0.09412712073703575,8,0.400285097415825,1,1,0
16,2.9018558690918153,0.5086491333212084,0.021127842698051437,8,0.4225073642196152,1,0,0
6,2.7255068884984857,0.43839552638315904,0.06329254427939296,10,0.4725200832218609,2,1,0
11,3.32207809473173,0.4421192067461225,0.08312502240247975,5,0.41074645455778686,1,1,0
5,3.48707283075922,0.5466443624643534,0.05958967124088339,10,0.3365068936529582,2,1,0
8,3.3991628114755543,0.5313470190721045,0.06555637713652583,14,0.4777628663781745,2,1,0
14,2.89708377167393,0.36964145284582084,0.0409321511798737,13,0.47315277338506584,1,1,0
19,2.0927029657823324,0.4877159428166561,0.010184053808980477,5,0.4746442092422912,1,1,0
19,2.92628991953322,0.5040564645474277,0.013132735838308929,7,0.41738347437955936,1,1,0
17,2.145571132296674,0.421441033625074,0.0702159628431564,9,0.492664608671942,2,1,0
15,2.2082322104535486,0.32049952720567226,0.07972435834871916,14,0.41111832204884435,2,1,0
8,2.2870170472837024,0.4114214516217406,0.08422936488339888,6,0.32973401445019423,1,1,0
22,3.571184424255174,0.692500245270085,0.4717074272640388,16,0.16544361808232697,6,0,1
9,2.887679725475743,0.5071888743165732,0.0968854471290267,6,0.4649790950567971,1,1,0
18,2.500330511260607,0.5428553444738446,0.06416166124708797,8,0.49567704190465395,2,1,0
18,2.6784006610040487,0.41880472708010513,0.015356328824938726,12,0.46618314424239066,1,1,0
14,2.0709335496274015,0.49371487602768793,0.006733788723349111,13,0.3726470351882555,1,1,0
19,2.929636701086633,0.4928503734978995,0.0544900533373521,12,0.30195807980872513,2,1,0
19,2.9855476482589127,0.4944465454449034,0.07410740436698791,14,0.33563956476988716,2,1,0
5,2.149085222074922,0.4662927012522069,0.0018063815375064076,14,0.307396109035818,1,1,0
46,4.100510722424148,0.650400690259014,0.3758726068789797,15,0.13932025340041626,4,1,1
41,3.642278908685789,0.6573040557724646,0.4180885995595658,21,0.26752827698601084,5,0,1
16,4.313213285682808,0.8564914703966062,0.12004891316682414,21,0.13410629369197333,6,0,1
16,2.829289811272319,0.3275398296894113,0.07375334074310262,6,0.38171534665492446,1,1,0
19,2.7545686018291935,0.30352577206697007,0.015156368094596674,13,0.3545653490684693,1,1,0
15,2.080689415591601,0.45567474425258736,0.00872038620614538,6,0.40491375806374036,2,1,0
19,3.1027241913963257,0.42384370800136184,0.08143341511631191,5,0.3978444262131078,2,1,0
17,2.767715955320805,0.4353508320075944,0.08097772527999779,7,0.46461128082558023,1,1,0
15,2.2592357802454375,0.43755156010629387,0.0456837166405948,10,0.4392449572608432,2,0,0
17,3.021096280620199,0.568556577459114,0.0035743065913940945,7,0.362085261974454,1,1,0
44,3.8334644284591564,0.6714352585187686,0.37061537324529126,14,0.27784236634815596,3,0,1
12,2.3202432041192846,0.4327020225975734,0.041194885865367396,7,0.41961854257477216,2,1,0
19,3.194742609086665,0.4364348129498583,0.08163938812429258,14,0.36791555096869055,1,0,0
13,2.6847570888215224,0.553350788369545,0.014410500800086946,6,0.46209838382002116,2,1,0
10,2.2709144187605865,0.36511686879749583,0.04632531506397112,6,0.37402881879622024,1,1,0
15,2.9864300049695585,0.30442394776027704,0.0526388448318264,8,0.31057025244665454,1,1,0
5,2.8950904468015213,0.4434502149745452,0.036962305176242403,7,0.4757752839316488,1,1,0
22,3.7351430427062198,0.7536152335438799,0.24322444263922469,24,0.17703573018986346,7,1,1
22,4.278179486715778,0.6938756936936654,0.32239460532946873,12,0.21725416882761317,7,0,1
49,3.7934235499156017,0.7199359883731322,0.40769666649375547,19,0.2473240476241823,5,1,1
42,4.207849748728641,0.6167474166743026,0.275337901746302,20,0.24171579895772782,3,0,1
12,2.598841788444652,0.47104056892225166,0.038466732287259546,9,0.49403324219257455,1,0,0
30,3.6847377416904785,0.7618513196742696,0.2982353384270194,24,0.23434240028559508,3,0,1
13,3.2671929625720555,0.5151820697386933,0.09983099563941764,12,0.4339419538261654,1,0,0
8,3.494810408168452,0.4620600668935584,0.025760273302685734,5,0.31193648009405683,1,0,0
