ip_address,threat_type,threat_level,confidence,first_seen_days_ago,last_seen_days_ago,total_reports,is_active
103.179.92.15,bruteforce,5,0.5310226302109148,163,25,31,0
107.71.188.21,bruteforce,2,0.5408158249256692,91,5,77,1
103.121.210.215,malware,4,0.6492470563936843,22,2,44,1
75.202.87.117,phishing,2,0.7570940904605057,87,22,90,1
100.103.151.131,botnet,5,0.7031374002797932,181,11,56,1
150.52.1.88,scanner,2,0.5224081553354036,354,8,98,1
236.157.37.130,botnet,9,0.9787457789354758,282,8,54,1
192.187.20.161,malware,6,0.9764347601790418,20,14,53,1
204.57.21.253,spam,8,0.6396781616203799,48,0,74,1
236.88.48.219,scanner,9,0.8657628076342907,189,17,76,1
59.254.169.220,malware,8,0.7892877056916119,204,14,86,1
188.207.14.190,phishing,5,0.6187383475028121,43,7,46,0
190.174.189.51,scanner,5,0.6310857758708077,299,10,54,1
108.54.243.64,scanner,6,0.7455765871552252,127,16,31,1
249.130.228.51,bruteforce,1,0.7096184707486801,188,26,83,1
135.20.72.167,spam,8,0.6456146641156322,169,27,24,1
18.131.88.60,scanner,2,0.9037557981525745,278,26,25,1
14.241.249.9,spam,6,0.7407314588186924,200,13,35,1
90.52.129.84,malware,9,0.827424031194564,124,18,57,0
92.110.187.199,phishing,3,0.5946367500839378,291,26,72,1
172.252.7.175,phishing,2,0.7667538312582434,310,22,69,0
35.205.80.164,scanner,5,0.6589880247233108,15,23,86,1
50.103.131.2,scanner,9,0.7632068051974391,344,4,28,1
254.133.53.106,malware,6,0.8904129167054641,273,29,76,0
4.53.220.191,bruteforce,8,0.8844566050456308,293,1,33,0
146.217.43.162,bruteforce,8,0.677110339017138,19,14,53,0
202.189.227.14,bruteforce,7,0.8471385585398196,18,18,16,1
95.47.14.200,spam,5,0.9706449751971384,12,24,26,0
206.214.251.249,bruteforce,2,0.8128346649624532,16,15,12,1
190.39.212.208,phishing,5,0.5742050616913186,205,12,87,1
237.81.110.53,spam,7,0.8398543146395476,29,26,90,1
24.153.216.252,malware,7,0.5524521931746557,298,28,77,1
188.123.236.41,phishing,2,0.9360552043965136,303,25,87,1
157.14.44.65,phishing,7,0.7583302479009701,42,6,31,0
89.70.8.88,botnet,6,0.6925703681557898,92,28,27,1
129.235.135.216,malware,7,0.5285032973248462,65,16,36,0
63.138.242.81,malware,8,0.6903918672960548,118,18,59,0
