url_length,param_count,special_chars,script_tags,sql_keywords,path_traversal,encoded_chars,method,content_length,attack_type,is_attack
67,1,2,0,0,0,0,GET,3708,normal,0
963,18,49,0,0,9,13,GET,5526,lfi,1
647,14,23,0,4,0,25,POST,4579,sqli,1
46,4,3,0,0,0,4,GET,4034,normal,0
73,3,6,0,0,0,2,DELETE,8244,normal,0
74,3,4,0,0,0,4,POST,7031,normal,0
40,0,5,0,0,0,4,POST,829,normal,0
694,8,46,0,0,0,21,GET,4376,rce,1
258,4,25,3,0,0,29,GET,2738,xss,1
593,16,16,4,0,0,22,POST,8573,xss,1
67,2,1,0,0,0,3,POST,3834,normal,0
713,16,30,0,0,3,29,GET,3426,lfi,1
948,15,11,0,5,0,15,POST,8591,sqli,1
22,4,1,0,0,0,2,POST,955,normal,0
43,3,1,0,0,0,0,GET,9418,normal,0
20,1,6,0,0,0,2,POST,1675,normal,0
25,1,3,0,0,0,1,GET,5218,normal,0
38,3,7,0,0,0,2,GET,196,normal,0
62,1,7,0,0,0,4,GET,5943,normal,0
27,1,0,0,0,0,4,POST,9381,normal,0
231,14,43,2,0,0,24,GET,3605,xss,1
71,2,3,0,0,0,2,POST,5109,normal,0
92,0,1,0,0,0,4,POST,5652,normal,0
66,0,2,0,0,0,0,GET,5235,normal,0
47,1,9,0,0,0,0,GET,7261,normal,0
898,19,17,0,3,0,24,POST,5805,sqli,1
23,0,9,0,0,0,3,GET,5454,normal,0
27,0,8,0,0,0,3,GET,7569,normal,0
80,2,5,0,0,0,2,GET,9514,normal,0
36,0,6,0,0,0,1,GET,1226,normal,0
137,6,48,1,0,0,20,GET,8774,xss,1
39,3,0,0,0,0,4,GET,6113,normal,0
99,2,4,0,0,0,4,GET,2719,normal,0
209,11,45,0,0,3,20,GET,7372,lfi,1
705,10,42,0,0,3,11,POST,6007,lfi,1
493,16,37,0,2,0,10,GET,5498,sqli,1
29,4,6,0,0,0,4,POST,9896,normal,0
49,3,8,0,0,0,4,POST,2229,normal,0
842,12,49,4,0,0,15,GET,5665,xss,1
76,2,1,0,0,0,0,POST,8532,normal,0
82,1,1,0,0,0,4,GET,5009,normal,0
90,2,0,0,0,0,3,GET,7699,normal,0
66,0,7,0,0,0,2,POST,1355,normal,0
389,10,40,0,0,0,17,PUT,5460,rce,1
65,0,6,0,0,0,3,POST,1416,normal,0
610,6,37,3,0,0,28,GET,942,xss,1
45,2,0,0,0,0,1,GET,3194,normal,0
29,2,7,0,0,0,2,GET,1162,normal,0
53,4,7,0,0,0,4,POST,5236,normal,0
97,1,9,0,0,0,3,GET,9354,normal,0
505,5,26,0,0,9,28,GET,6373,lfi,1
852,16,32,0,7,0,7,POST,7451,sqli,1
931,17,15,0,0,6,5,GET,3536,lfi,1
869,8,25,0,0,0,10,POST,112,rce,1
98,1,4,0,0,0,4,POST,6036,normal,0
867,12,32,0,0,4,12,POST,6178,lfi,1
69,1,9,0,0,0,3,GET,5386,normal,0
83,4,1,0,0,0,2,GET,4383,normal,0
21,0,0,0,0,0,1,DELETE,614,normal,0
64,3,1,0,0,0,3,GET,9113,normal,0
81,4,8,0,0,0,0,GET,4497,normal,0
33,2,8,0,0,0,4,GET,8168,normal,0
823,19,27,0,4,0,7,POST,9931,sqli,1
34,4,3,0,0,0,2,GET,3817,normal,0
33,1,1,0,0,0,2,GET,9306,normal,0
50,2,5,0,0,0,0,GET,3444,normal,0
48,4,8,0,0,0,4,GET,9038,normal,0
288,7,41,0,2,0,27,POST,2858,sqli,1
28,1,9,0,0,0,3,POST,8858,normal,0
207,15,49,0,0,0,6,GET,4218,csrf,1
420,8,27,0,8,0,17,POST,1023,sqli,1
98,2,8,0,0,0,2,POST,7499,normal,0
68,1,9,0,0,0,0,GET,501,normal,0
445,5,13,0,7,0,19,GET,830,sqli,1
962,6,11,4,0,0,8,POST,4274,xss,1
427,5,39,0,9,0,19,POST,732,sqli,1
654,15,47,0,6,0,21,POST,7789,sqli,1
86,1,2,0,0,0,4,GET,7600,normal,0
38,4,8,0,0,0,0,GET,1864,normal,0
86,2,4,0,0,0,2,GET,1294,normal,0
992,13,42,0,0,0,16,GET,2596,rce,1
518,13,12,1,0,0,13,GET,7014,xss,1
55,0,4,0,0,0,4,POST,8084,normal,0
30,4,4,0,0,0,0,GET,6577,normal,0
70,1,1,0,0,0,2,GET,4810,normal,0
99,1,8,0,0,0,3,POST,8879,normal,0
732,18,39,0,3,0,9,GET,3693,sqli,1
947,11,34,3,0,0,5,GET,2627,xss,1
176,16,33,0,0,0,6,GET,2287,rce,1
81,2,6,0,0,0,4,GET,649,normal,0
61,1,1,0,0,0,1,GET,8819,normal,0
744,9,39,2,0,0,16,GET,5898,xss,1
922,5,35,0,7,0,14,GET,5252,sqli,1
67,0,4,0,0,0,0,GET,7573,normal,0
375,14,33,0,2,0,16,POST,8616,sqli,1
26,1,9,0,0,0,1,DELETE,7865,normal,0
33,1,8,0,0,0,3,GET,1071,normal,0
30,3,8,0,0,0,0,POST,3015,normal,0
31,0,5,0,0,0,3,GET,3832,normal,0
24,3,2,0,0,0,4,GET,2360,normal,0
24,1,3,0,0,0,1,GET,3495,normal,0
851,19,36,3,0,0,24,GET,6881,xss,1
73,2,8,0,0,0,0,POST,2299,normal,0
74,0,3,0,0,0,4,GET,5053,normal,0
956,11,46,0,0,0,28,PUT,3739,rce,1
98,2,4,0,0,0,2,GET,2345,normal,0
49,3,5,0,0,0,0,GET,4429,normal,0
282,5,38,0,7,0,11,GET,8004,sqli,1
92,4,0,0,0,0,0,PUT,5282,normal,0
22,1,4,0,0,0,1,DELETE,8545,normal,0
67,2,8,0,0,0,0,GET,5432,normal,0
90,2,9,0,0,0,1,GET,35,normal,0
818,9,49,0,0,6,8,GET,1805,lfi,1
272,3,30,0,3,0,9,POST,7666,sqli,1
752,14,11,4,0,0,5,POST,8946,xss,1
371,6,23,0,0,0,14,GET,80,rce,1
825,10,14,0,4,0,7,GET,329,sqli,1
99,0,7,0,0,0,4,GET,6303,normal,0
368,13,20,0,0,0,7,POST,3479,rce,1
90,1,9,0,0,0,2,GET,806,normal,0
677,14,39,0,7,0,24,POST,3326,sqli,1
914,5,10,0,0,0,6,GET,4749,rce,1
47,4,4,0,0,0,4,POST,2446,normal,0
28,4,4,0,0,0,4,GET,4094,normal,0
90,2,5,0,0,0,2,POST,7691,normal,0
99,3,9,0,0,0,0,POST,5372,normal,0
989,3,36,0,3,0,28,GET,7950,sqli,1
409,15,24,0,0,0,10,GET,389,rce,1
21,4,2,0,0,0,2,GET,5820,normal,0
76,0,6,0,0,0,0,POST,1287,normal,0
71,1,8,0,0,0,4,GET,3985,normal,0
