url_length,num_dots,has_ip,has_at_symbol,has_double_slash,prefix_suffix,subdomain_level,domain_age_days,has_https,abnormal_url,special_char_count,digits_ratio,shortening_service,is_malicious
62,1,0,0.0,0,0,0,1919,1,0,0,0.0757087132128666,0,0
175,6,1,1.0,1,1,5,38,0,0,18,0.12946106932471835,0,1
115,7,1,1.0,1,0,4,29,0,1,15,0.2844924667062177,0,1
74,3,0,0.0,0,0,1,1156,1,0,3,0.02199467671425074,0,0
31,1,0,0.0,0,0,0,1892,0,0,3,0.07396146116753671,1,0
31,3,0,0.0,0,0,1,2589,1,0,4,0.06015955361149261,0,0
35,1,0,0.0,0,0,0,528,1,0,3,0.09987515818321675,0,0
202,10,1,0.0,1,0,2,79,1,1,15,0.36763120840355823,0,1
41,1,0,0.0,0,0,1,610,0,0,2,0.0316177389974071,0,0
238,6,1,1.0,1,1,4,50,0,1,5,0.11412604858207355,1,1
43,3,0,0.0,0,0,1,565,1,0,1,0.06603897852122102,0,0
181,6,0,1.0,0,0,2,1,0,1,10,0.30006568271794926,1,1
160,6,0,0.0,1,1,3,46,0,1,6,0.23434021515422893,0,1
37,3,0,0.0,1,0,1,1663,0,0,1,0.022281377924570467,0,0
64,2,0,0.0,0,0,0,1421,1,0,1,0.06036664575166474,0,0
66,1,0,0.0,0,0,0,2668,1,0,3,0.09389059756233821,0,0
35,3,0,0.0,0,0,0,3064,1,0,1,0.06537342953605366,0,0
23,1,0,0.0,0,0,1,1427,1,0,0,0.06456891211992523,0,0
31,2,0,0.0,0,0,0,1854,1,0,4,0.08255370969891489,0,0
68,3,0,0.0,0,0,1,2005,1,0,0,0.07055425754093768,0,0
52,3,0,0.0,0,0,1,196,0,0,2,0.08058590024852685,0,0
41,3,0,0.0,0,0,0,3470,1,0,0,0.029343623039440304,0,0
37,3,0,0.0,0,0,1,2419,1,0,4,0.052572922485539145,0,0
73,1,0,0.0,0,0,1,1646,1,0,3,0.08721591250354388,0,0
67,3,0,0.0,0,0,1,2178,0,0,3,0.0642030024446164,0,0
241,5,1,1.0,1,1,5,38,0,1,10,0.23004568396775027,1,1
46,3,0,0.0,0,0,0,1321,0,0,1,0.028204770935923384,0,0
61,2,0,0.0,0,1,1,3614,1,0,0,0.07654362046470993,0,0
38,2,0,0.0,0,0,0,3624,0,0,1,0.06915389633647981,1,0
67,1,0,0.0,0,0,0,1605,1,0,4,0.04905608575553007,0,0
33,3,0,0.0,0,0,1,660,1,0,1,0.019853899530067,0,0
44,2,0,0.0,0,0,0,2520,1,0,1,0.02936136970824841,0,0
53,3,0,0.0,0,0,1,3305,0,0,0,0.08815979030456352,0,0
189,4,0,1.0,0,1,2,63,0,0,5,0.21297002396594117,1,1
173,5,1,1.0,1,1,4,0,0,0,14,0.17961031694964563,0,1
217,9,0,0.0,1,1,5,38,0,0,11,0.39706699213047536,1,1
73,2,0,0.0,0,0,0,1255,1,0,1,0.07861637518002024,0,0
42,1,0,0.0,0,0,1,2030,1,0,2,0.01970268942725133,0,0
24,2,0,0.0,0,0,0,877,1,0,1,0.083079116893011,0,0
63,2,0,0.0,0,0,1,1533,0,0,3,0.04512919596200663,0,0
78,3,1,0.0,0,0,0,1683,1,0,1,0.04392983896912494,0,0
55,1,0,0.0,0,0,1,836,1,1,2,0.09224637902716755,0,0
73,3,0,0.0,0,0,0,1076,1,0,0,0.02431606513849385,0,0
113,6,1,1.0,0,1,2,64,0,1,19,0.1415594009354142,0,1
55,3,0,0.0,0,0,1,400,1,0,3,0.09650240947931732,0,0
24,2,0,0.0,0,0,1,1070,0,0,0,0.0957781066439361,0,0
58,3,0,0.0,0,0,1,1376,1,0,3,0.07483586586853071,0,0
25,1,0,0.0,0,0,0,1817,1,0,3,0.02683739674861503,0,0
