url_length,param_count,special_chars,script_tags,sql_keywords,path_traversal,encoded_chars,method,content_length,attack_type,is_attack
88,0,7,0,0,0,3,POST,4990,normal,0
412,3,18,0,0,6,13,GET,387,lfi,1
939,19,17,0,4,0,8,POST,7037,sqli,1
35,1,2,0,0,0,0,GET,6910,normal,0
70,4,6,0,0,0,1,POST,2003,normal,0
56,4,1,0,0,0,3,GET,9223,normal,0
92,0,7,0,0,0,0,GET,5745,normal,0
725,4,49,0,0,0,14,POST,1540,rce,1
883,15,36,4,0,0,15,POST,8641,xss,1
694,13,30,3,0,0,28,GET,3547,xss,1
85,1,2,0,0,0,2,GET,9288,normal,0
309,12,44,0,0,4,22,GET,9051,lfi,1
599,11,30,0,5,0,16,POST,301,sqli,1
41,3,4,0,0,0,1,DELETE,7104,normal,0
53,1,5,0,0,0,2,POST,2019,normal,0
74,0,0,0,0,0,3,GET,9072,normal,0
48,0,3,0,0,0,2,GET,4161,normal,0
57,3,3,0,0,0,3,DELETE,229,normal,0
37,3,9,0,0,0,2,GET,9113,normal,0
90,0,7,0,0,0,4,GET,7710,normal,0
430,8,30,4,0,0,9,GET,1832,xss,1
20,1,9,0,0,0,1,POST,8242,normal,0
23,3,5,0,0,0,2,POST,3678,normal,0
23,1,7,0,0,0,2,GET,7496,normal,0
46,0,8,0,0,0,4,POST,4482,normal,0
616,14,15,0,6,0,15,GET,8944,sqli,1
78,4,0,0,0,0,4,GET,5887,normal,0
51,0,0,0,0,0,3,GET,1478,normal,0
52,3,1,0,0,0,2,GET,2088,normal,0
47,4,1,0,0,0,2,GET,6040,normal,0
987,9,10,4,0,0,24,POST,8152,xss,1
79,4,6,0,0,0,2,GET,2993,normal,0
89,3,6,0,0,0,0,GET,3340,normal,0
417,12,29,0,0,8,20,GET,2343,lfi,1
149,18,17,0,0,5,11,GET,7188,lfi,1
979,9,10,0,9,0,17,GET,1238,sqli,1
75,3,2,0,0,0,2,GET,6856,normal,0
32,1,1,0,0,0,2,POST,5660,normal,0
825,13,19,2,0,0,27,DELETE,4339,xss,1
37,0,7,0,0,0,2,POST,8374,normal,0
73,1,0,0,0,0,2,GET,8735,normal,0
96,2,3,0,0,0,4,PUT,2826,normal,0
62,1,6,0,0,0,0,GET,7091,normal,0
778,17,26,0,0,0,6,GET,92,rce,1
80,1,1,0,0,0,4,GET,2415,normal,0
388,9,23,4,0,0,27,GET,4254,xss,1
98,3,5,0,0,0,1,POST,8126,normal,0
37,2,4,0,0,0,0,GET,4533,normal,0
42,1,2,0,0,0,1,GET,6516,normal,0
73,1,8,0,0,0,0,GET,4401,normal,0
690,3,45,0,0,5,21,POST,3032,lfi,1
