cert_validity_days,issuer_trusted,domain_mismatch,self_signed,weak_cipher,expired,key_size,is_suspicious
552,1,0,0,0,0,4096,0
82,0,0,1,1,0,2048,1
674,1,0,0,0,0,2048,0
705,1,0,0,0,0,2048,0
247,1,0,0,0,0,4096,0
361,1,0,0,0,0,4096,0
327,1,0,0,0,0,2048,0
52,1,0,1,0,0,1024,1
710,1,0,0,0,0,2048,0
610,1,0,0,0,0,2048,0
410,1,0,0,0,0,2048,0
88,1,1,1,1,0,2048,1
31,1,1,1,0,1,2048,1
340,1,0,1,0,0,4096,0
525,1,0,0,0,0,2048,0
235,1,0,0,0,0,4096,0
441,1,0,0,0,0,2048,0
659,1,0,0,0,0,2048,0
334,1,0,0,0,0,2048,0
649,1,0,0,0,0,4096,0
390,1,0,0,0,0,2048,0
527,1,0,0,0,0,2048,0
189,1,0,0,0,0,2048,0
569,1,0,0,0,0,4096,0
504,1,0,0,0,0,2048,0
74,0,0,0,0,1,2048,1
727,1,0,0,0,0,2048,0
391,1,0,0,0,0,2048,0
210,1,0,0,0,0,2048,0
177,1,0,0,0,0,2048,0
306,1,0,0,0,0,2048,0
662,1,0,0,0,0,2048,0
268,1,0,0,1,0,4096,0
46,1,1,0,1,0,2048,1
34,1,1,0,1,0,1024,1
84,1,1,0,1,0,2048,1
390,1,0,0,0,0,2048,0
463,0,0,1,0,0,4096,0
292,1,0,1,0,0,4096,0
136,1,0,0,1,0,2048,0
552,1,0,0,0,0,2048,0
497,1,0,0,0,0,2048,0
283,1,0,0,0,0,2048,0
63,0,1,1,0,1,1024,1
406,1,0,0,0,0,4096,0
568,1,0,0,0,0,2048,0
510,1,0,0,0,0,2048,0
358,1,0,0,0,0,2048,0
570,1,0,0,0,0,2048,0
352,1,0,0,0,0,2048,0
12,0,1,1,1,1,1024,1
7,0,0,1,1,1,2048,1
17,1,1,1,0,1,1024,1
65,1,1,0,0,1,2048,1
305,1,0,0,0,0,2048,0
