hour_of_day,log_level,event_frequency,unique_ips,failed_auth_count,avg_response_time_ms,error_rate,is_anomaly
19,DEBUG,32,27,1,241,0.03283875383657506,0
23,CRITICAL,377,262,76,2680,0.4342980656420955,1
11,INFO,19,8,4,104,0.028021006319781085,0
11,DEBUG,24,11,0,256,0.01482790607770848,0
18,WARNING,39,19,4,310,0.028393682703943792,0
14,INFO,11,12,1,156,0.03020952850659754,0
10,DEBUG,7,20,3,169,0.003665456424732361,0
2,WARNING,354,178,83,1234,0.2658194259680725,1
10,DEBUG,24,29,1,300,0.04235014673892759,0
13,ERROR,24,14,3,375,0.0060502588479248,0
16,INFO,14,2,1,91,0.0374595004892986,0
5,CRITICAL,307,101,41,3246,0.3430634523063639,1
12,INFO,11,27,2,372,0.03071111101448437,0
8,WARNING,8,22,3,397,0.0010896122367967775,0
8,DEBUG,44,25,4,180,0.043190346566184534,0
10,ERROR,15,12,3,146,0.045133683141561805,0
10,WARNING,42,9,0,371,0.031177817187408387,0
11,INFO,2,22,3,493,0.04940517063106505,0
10,INFO,24,12,1,334,0.015099308130523792,0
13,INFO,45,6,4,440,0.010440197835888305,0
19,WARNING,10,6,2,157,0.0073419208320721525,0
11,INFO,32,27,2,181,0.00903488511542136,0
15,INFO,17,26,1,227,0.0017137774766203763,0
8,WARNING,10,22,2,326,0.0351715146543069,0
15,INFO,22,19,4,266,0.038659078924662554,0
18,INFO,6,20,1,442,0.000587035125310742,0
8,WARNING,27,6,4,237,0.01168495646194267,0
18,DEBUG,20,26,2,61,0.01090654823908454,0
8,INFO,1,17,2,361,0.03169867308820186,0
14,DEBUG,17,17,0,54,0.03939284083262135,0
8,DEBUG,1,29,1,496,0.03592696028997916,0
16,INFO,37,23,3,332,0.03810110346327005,0
15,INFO,15,17,1,152,0.03563300008503612,0
23,ERROR,474,473,60,7992,0.22435029518771266,1
5,ERROR,190,204,41,5087,0.20410140669639978,1
9,INFO,46,11,0,177,0.0272993801344147,0
9,DEBUG,45,8,1,334,0.041114895890229784,0
13,INFO,43,22,4,296,0.03060993336286232,0
11,INFO,44,14,0,260,0.007294780963613412,0
15,INFO,38,19,0,341,0.043294591043680525,0
8,INFO,43,18,0,146,0.024089033989376542,0
17,WARNING,2,15,2,185,0.01260475191425266,0
11,INFO,18,18,4,207,0.018778169508248913,0
22,DEBUG,139,206,44,2721,0.5736318279089323,1
