ip_address,threat_type,threat_level,confidence,first_seen_days_ago,last_seen_days_ago,total_reports,is_active
103.179.92.15,spam,8,0.7036888665266232,268,18,89,1
107.71.188.21,scanner,8,0.6561740792289859,208,24,60,1
103.121.210.215,spam,8,0.7855264074421889,333,13,56,0
75.202.87.117,phishing,6,0.5046651774303346,24,7,76,1
100.103.151.131,phishing,9,0.8555319042005636,304,28,82,1
150.52.1.88,malware,4,0.742494871246512,87,22,58,1
236.157.37.130,spam,5,0.8503446029431109,119,7,26,1
192.187.20.161,botnet,4,0.7239031068231658,224,16,79,1
204.57.21.253,malware,5,0.737096416596293,135,24,5,1
236.88.48.219,spam,2,0.9477748640362025,250,20,56,0
59.254.169.220,bruteforce,5,0.6054490743122434,210,28,33,0
188.207.14.190,scanner,8,0.6087443672578814,10,4,9,1
190.174.189.51,spam,9,0.7797382975551523,9,4,32,1
108.54.243.64,scanner,7,0.8301121372772092,314,24,77,0
249.130.228.51,scanner,7,0.6773441167410741,64,20,28,1
135.20.72.167,phishing,6,0.7597555836574539,79,1,23,1
18.131.88.60,botnet,2,0.6139282010587661,91,21,88,1
14.241.249.9,spam,9,0.5679553111549142,132,22,95,1
90.52.129.84,botnet,5,0.6191313250331263,111,10,69,1
92.110.187.199,scanner,6,0.9581865295975787,194,14,62,1
172.252.7.175,phishing,1,0.9009089986630374,86,22,48,1
35.205.80.164,botnet,5,0.5701228390811051,161,6,66,0
50.103.131.2,malware,6,0.523280153057601,347,10,62,0
254.133.53.106,scanner,2,0.5465924859228977,0,29,94,0
4.53.220.191,malware,7,0.6467164020872993,118,1,69,1
146.217.43.162,bruteforce,4,0.9056795078763695,253,5,56,0
202.189.227.14,botnet,5,0.6606872433035573,190,8,74,1
95.47.14.200,botnet,3,0.5928276316342154,289,16,36,0
206.214.251.249,botnet,5,0.6979205527289796,350,18,36,1
190.39.212.208,bruteforce,4,0.56202681117066,287,11,56,1
237.81.110.53,spam,6,0.7351084223700316,115,5,7,0
24.153.216.252,scanner,2,0.8377770773231532,198,15,93,1
188.123.236.41,scanner,3,0.6844243098613738,234,22,32,1
157.14.44.65,scanner,1,0.5868057479703555,229,1,91,1
89.70.8.88,spam,7,0.7265987410522383,225,25,1,1
129.235.135.216,botnet,9,0.8812446162384078,195,23,58,1
63.138.242.81,botnet,2,0.5382971258205742,277,10,20,1
136.162.162.33,bruteforce,7,0.5354685610117225,156,14,34,0
123.4.233.231,malware,3,0.6590553697164194,353,28,51,1
250.40.27.135,spam,5,0.707526393701938,300,5,36,1
201.71.11.162,phishing,6,0.6082359178641965,172,27,26,0
33.47.246.151,spam,8,0.5134553156010266,322,24,87,0
62.215.36.99,bruteforce,4,0.6097798209568972,20,8,33,1
172.103.213.219,malware,2,0.7176849359368815,187,8,1,0
35.192.226.101,malware,3,0.5397136722181111,284,24,67,1
175.205.130.1,malware,8,0.8579459143219852,288,17,50,0
5.217.246.142,botnet,7,0.7760504222051151,166,25,35,0
103.26.136.207,phishing,6,0.7172201099012254,189,12,35,0
15.89.41.124,malware,5,0.7593559216064404,89,25,59,0
