url_length,param_count,special_chars,script_tags,sql_keywords,path_traversal,encoded_chars,method,content_length,attack_type,is_attack
44,2,3,0,0,0,2,GET,301,normal,0
170,18,18,0,0,5,17,GET,1012,lfi,1
579,8,15,0,5,0,24,PUT,3650,sqli,1
23,1,2,0,0,0,3,GET,246,normal,0
57,3,5,0,0,0,3,GET,2063,normal,0
82,2,1,0,0,0,3,GET,1358,normal,0
66,2,7,0,0,0,4,GET,9801,normal,0
254,17,42,0,0,0,28,PUT,8131,rce,1
664,10,41,4,0,0,19,GET,1045,xss,1
718,9,43,3,0,0,8,GET,6761,xss,1
83,1,1,0,0,0,2,POST,4214,normal,0
915,9,42,0,0,6,16,POST,9743,lfi,1
746,9,25,0,9,0,17,PUT,9730,sqli,1
81,1,3,0,0,0,4,GET,9707,normal,0
54,3,7,0,0,0,4,DELETE,4601,normal,0
32,2,2,0,0,0,1,GET,1778,normal,0
54,3,8,0,0,0,1,POST,8628,normal,0
62,3,4,0,0,0,0,GET,8994,normal,0
21,2,1,0,0,0,1,PUT,7272,normal,0
75,4,8,0,0,0,2,POST,4198,normal,0
680,3,11,2,0,0,16,GET,7375,xss,1
70,0,7,0,0,0,0,GET,5780,normal,0
73,0,5,0,0,0,0,POST,4800,normal,0
35,0,0,0,0,0,3,POST,824,normal,0
37,1,3,0,0,0,1,GET,3805,normal,0
370,12,34,0,3,0,8,GET,8495,sqli,1
64,3,6,0,0,0,3,POST,6310,normal,0
55,2,6,0,0,0,2,GET,8685,normal,0
60,4,5,0,0,0,3,GET,8278,normal,0
61,0,9,0,0,0,2,POST,3297,normal,0
504,18,33,4,0,0,26,GET,6045,xss,1
34,1,7,0,0,0,4,GET,7089,normal,0
79,2,6,0,0,0,1,GET,6496,normal,0
988,5,39,0,0,3,19,POST,5864,lfi,1
366,8,45,0,0,5,6,GET,6493,lfi,1
521,10,23,0,4,0,25,GET,5634,sqli,1
74,4,2,0,0,0,4,GET,3820,normal,0
96,3,1,0,0,0,1,GET,6913,normal,0
571,15,45,1,0,0,20,GET,1049,xss,1
75,3,8,0,0,0,0,GET,3601,normal,0
63,2,4,0,0,0,1,GET,6465,normal,0
76,1,8,0,0,0,1,GET,6439,normal,0
25,0,7,0,0,0,0,GET,4865,normal,0
602,13,42,0,0,0,16,GET,7749,rce,1
93,1,1,0,0,0,1,DELETE,2983,normal,0
877,3,21,4,0,0,17,POST,6328,xss,1
87,0,4,0,0,0,0,POST,8719,normal,0
92,3,6,0,0,0,1,DELETE,7173,normal,0
26,1,8,0,0,0,3,GET,33,normal,0
27,2,3,0,0,0,1,GET,5186,normal,0
337,4,10,0,0,3,7,GET,6398,lfi,1
645,18,26,0,8,0,10,GET,7976,sqli,1
268,5,49,0,0,3,5,POST,6546,lfi,1
621,19,25,0,0,0,25,POST,9,rce,1
22,4,7,0,0,0,1,POST,1727,normal,0
756,10,24,0,0,7,5,POST,7542,lfi,1
85,3,2,0,0,0,4,GET,2778,normal,0
98,3,0,0,0,0,1,GET,6732,normal,0
71,3,5,0,0,0,2,GET,3098,normal,0
41,2,4,0,0,0,4,GET,4044,normal,0
23,4,7,0,0,0,3,GET,1176,normal,0
25,3,5,0,0,0,4,GET,4723,normal,0
496,4,21,0,4,0,19,DELETE,1273,sqli,1
45,2,9,0,0,0,1,GET,7054,normal,0
30,1,9,0,0,0,1,GET,2476,normal,0
36,3,1,0,0,0,4,POST,2341,normal,0
50,4,7,0,0,0,1,GET,4539,normal,0
220,15,36,0,7,0,15,GET,3142,sqli,1
54,2,7,0,0,0,0,GET,2210,normal,0
949,9,29,0,0,0,14,GET,3414,csrf,1
296,16,23,0,5,0,21,POST,7684,sqli,1
37,2,9,0,0,0,2,GET,7274,normal,0
81,1,4,0,0,0,0,GET,2027,normal,0
111,3,39,0,4,0,5,GET,4726,sqli,1
180,6,40,3,0,0,29,POST,4894,xss,1
429,3,19,0,6,0,13,GET,1999,sqli,1
965,12,28,0,2,0,28,POST,4704,sqli,1
47,4,3,0,0,0,1,POST,5617,normal,0
28,1,5,0,0,0,1,GET,9216,normal,0
95,0,1,0,0,0,4,GET,1621,normal,0
406,11,29,0,0,0,24,POST,4571,rce,1
366,19,13,3,0,0,25,POST,3011,xss,1
71,4,9,0,0,0,3,GET,6208,normal,0
54,1,4,0,0,0,4,GET,9102,normal,0
70,0,4,0,0,0,3,POST,7652,normal,0
74,4,1,0,0,0,4,GET,614,normal,0
940,13,21,0,5,0,11,POST,4080,sqli,1
101,9,38,4,0,0,25,POST,1004,xss,1
619,13,40,0,0,0,29,GET,7703,rce,1
99,2,6,0,0,0,2,POST,3222,normal,0
44,0,4,0,0,0,0,POST,6142,normal,0
735,7,31,3,0,0,26,GET,9207,xss,1
408,15,31,0,6,0,26,GET,8198,sqli,1
75,4,4,0,0,0,0,POST,7683,normal,0
621,12,23,0,4,0,14,GET,7930,sqli,1
30,1,9,0,0,0,1,POST,3765,normal,0
86,0,5,0,0,0,4,GET,4050,normal,0
34,2,6,0,0,0,3,PUT,2511,normal,0
20,3,6,0,0,0,0,POST,3635,normal,0
26,1,7,0,0,0,2,GET,5713,normal,0
20,2,4,0,0,0,1,GET,2895,normal,0
973,13,34,2,0,0,25,GET,3905,xss,1
92,2,3,0,0,0,4,POST,1916,normal,0
48,3,8,0,0,0,0,POST,4277,normal,0
625,14,46,0,0,0,6,POST,6572,rce,1
64,2,2,0,0,0,3,GET,6951,normal,0
90,0,4,0,0,0,3,GET,4130,normal,0
853,14,16,0,5,0,19,GET,3863,sqli,1
51,2,7,0,0,0,0,GET,674,normal,0
39,2,0,0,0,0,2,GET,1900,normal,0
70,1,4,0,0,0,1,GET,7329,normal,0
55,4,5,0,0,0,4,POST,7909,normal,0
577,12,14,0,0,8,20,GET,4503,lfi,1
778,19,38,0,4,0,27,POST,4099,sqli,1
119,16,36,4,0,0,29,GET,4456,xss,1
315,17,34,0,0,0,11,POST,6065,rce,1
954,10,46,0,2,0,24,POST,3037,sqli,1
88,2,2,0,0,0,1,POST,589,normal,0
228,19,13,0,0,0,29,GET,5477,rce,1
25,0,1,0,0,0,3,POST,5747,normal,0
521,15,26,0,8,0,28,GET,1889,sqli,1
393,18,30,0,0,0,5,GET,2382,rce,1
38,1,1,0,0,0,2,DELETE,2332,normal,0
96,4,9,0,0,0,4,PUT,1059,normal,0
48,0,2,0,0,0,4,GET,3395,normal,0
80,0,6,0,0,0,2,GET,7630,normal,0
655,12,24,0,3,0,12,GET,394,sqli,1
941,16,44,0,0,0,18,POST,566,rce,1
99,3,8,0,0,0,4,POST,1072,normal,0
43,2,5,0,0,0,1,GET,2510,normal,0
42,0,8,0,0,0,0,POST,7480,normal,0
29,0,2,0,0,0,4,GET,6100,normal,0
73,4,2,0,0,0,3,DELETE,2402,normal,0
60,2,9,0,0,0,4,PUT,6486,normal,0
341,16,27,0,0,5,15,GET,2102,lfi,1
36,4,1,0,0,0,0,POST,7064,normal,0
75,3,5,0,0,0,2,GET,7141,normal,0
365,18,11,4,0,0,22,GET,9106,xss,1
49,2,4,0,0,0,3,POST,9303,normal,0
811,18,26,0,0,0,22,GET,5439,csrf,1
347,16,10,0,0,7,6,GET,3461,lfi,1
74,2,2,0,0,0,1,PUT,3923,normal,0
38,3,2,0,0,0,0,GET,2317,normal,0
48,2,0,0,0,0,4,GET,5991,normal,0
21,4,5,0,0,0,3,GET,965,normal,0
55,2,2,0,0,0,2,POST,9341,normal,0
900,12,40,3,0,0,9,POST,6982,xss,1
26,0,9,0,0,0,3,GET,2232,normal,0
45,4,8,0,0,0,2,POST,8556,normal,0
98,1,0,0,0,0,1,PUT,3613,normal,0
924,7,34,0,0,0,12,POST,1031,rce,1
22,2,4,0,0,0,1,GET,8845,normal,0
99,2,1,0,0,0,0,POST,3795,normal,0
85,1,0,0,0,0,4,POST,3867,normal,0
397,14,22,0,0,0,12,POST,7581,csrf,1
62,0,6,0,0,0,3,GET,4086,normal,0
685,19,49,2,0,0,25,GET,3203,xss,1
209,12,13,0,4,0,19,GET,4418,sqli,1
43,3,9,0,0,0,4,POST,5001,normal,0
643,19,44,0,8,0,5,POST,2149,sqli,1
87,1,8,0,0,0,2,POST,4890,normal,0
893,6,21,3,0,0,12,GET,9681,xss,1
124,13,18,3,0,0,20,GET,6218,xss,1
74,0,9,0,0,0,0,GET,4839,normal,0
49,3,1,0,0,0,4,GET,6379,normal,0
837,4,14,0,6,0,22,GET,5388,sqli,1
45,2,8,0,0,0,4,DELETE,4983,normal,0
45,1,8,0,0,0,2,GET,3638,normal,0
56,3,7,0,0,0,3,GET,9469,normal,0
72,4,6,0,0,0,2,GET,4822,normal,0
442,10,36,3,0,0,17,GET,4424,xss,1
22,0,1,0,0,0,1,GET,5927,normal,0
62,1,3,0,0,0,1,POST,2417,normal,0
26,2,9,0,0,0,3,GET,3742,normal,0
554,7,37,4,0,0,26,GET,258,xss,1
92,0,5,0,0,0,3,GET,4472,normal,0
388,9,29,3,0,0,17,POST,144,xss,1
96,4,4,0,0,0,4,POST,6223,normal,0
357,9,36,0,0,6,24,GET,3110,lfi,1
73,2,9,0,0,0,0,PUT,2753,normal,0
88,3,5,0,0,0,1,GET,708,normal,0
46,2,7,0,0,0,2,POST,8437,normal,0
325,4,31,0,0,9,14,GET,4428,lfi,1
695,15,18,0,0,0,16,GET,9803,rce,1
83,0,7,0,0,0,0,GET,7570,normal,0
534,9,28,3,0,0,27,GET,2812,xss,1
981,10,47,0,4,0,26,GET,6119,sqli,1
82,2,4,0,0,0,0,GET,7175,normal,0
54,3,9,0,0,0,1,GET,9579,normal,0
80,0,9,0,0,0,4,GET,9926,normal,0
73,1,9,0,0,0,1,POST,251,normal,0
187,7,38,0,0,0,13,POST,2943,rce,1
683,3,43,0,0,0,16,GET,2005,rce,1
992,17,18,2,0,0,21,GET,6161,xss,1
49,4,6,0,0,0,0,GET,3313,normal,0
40,3,6,0,0,0,3,GET,1276,normal,0
408,11,46,0,4,0,23,GET,9219,sqli,1
442,17,23,0,0,0,29,GET,9588,rce,1
535,12,18,0,0,0,21,GET,1448,rce,1
276,4,28,0,5,0,26,POST,6892,sqli,1
238,7,32,1,0,0,7,DELETE,1202,xss,1
85,2,5,0,0,0,4,POST,8203,normal,0
22,0,8,0,0,0,1,DELETE,5999,normal,0
317,3,35,0,0,0,23,POST,9508,rce,1
263,17,47,1,0,0,19,GET,8961,xss,1
87,1,9,0,0,0,2,GET,6740,normal,0
44,0,7,0,0,0,2,POST,6438,normal,0
907,3,44,1,0,0,16,GET,9548,xss,1
30,2,4,0,0,0,1,GET,3183,normal,0
36,0,2,0,0,0,0,GET,1973,normal,0
45,3,0,0,0,0,3,GET,2269,normal,0
309,15,34,4,0,0,27,GET,9228,xss,1
840,4,10,1,0,0,14,POST,5389,xss,1
71,4,1,0,0,0,3,GET,6183,normal,0
374,8,13,4,0,0,19,GET,2552,xss,1
39,0,7,0,0,0,3,PUT,9946,normal,0
21,4,8,0,0,0,1,GET,5423,normal,0
409,14,42,0,4,0,27,POST,4617,sqli,1
819,13,13,1,0,0,5,POST,9336,xss,1
932,8,20,0,0,0,24,GET,7477,rce,1
239,5,48,1,0,0,8,POST,1698,xss,1
23,1,5,0,0,0,2,GET,2352,normal,0
32,1,6,0,0,0,3,POST,5578,normal,0
54,0,2,0,0,0,0,POST,6739,normal,0
